ticker,empresa_pipeline,pipeline_market_cap,pipeline_p_l,pipeline_net_margin_recalc,margin_source,matched_name_planilha,planilha_pe,planilha_margin
PETR3,PETROBRAS ON,444017000000.0,5.73,0.1577426614521229,fundamentus_calc,Petrobras ON,5.33,1.003408969462314
BPAC3,BTGP BANCO ON,441720000000.0,30.09,0.1821291647735166,planilha_ibx50,Itaú Unibanco PN,10.04,0.1821291647735166
ITUB4,ITAUUNIBANCO PN N1,440193000000.0,10.19,0.1821291647735166,planilha_ibx50,Itaú Unibanco PN,10.04,0.1821291647735166
PETR4,PETROBRAS PN,416177000000.0,5.37,0.1577426614521229,fundamentus_calc,Petrobras PN,5.33,1.003408969462314
ITUB3,ITAUUNIBANCO ON N1,405237000000.0,9.38,0.1821291647735166,planilha_ibx50,Itaú Unibanco PN,10.04,0.1821291647735166
VALE3,VALE ON NM,363484000000.0,12.04,0.1415010313144571,fundamentus_calc,Vale ON,12.34,0.1395739077290385
AMBV3,AMBEV ON,272509000000.0,26.65,0.1754089862445599,planilha_ibx50,Ambev ON,15.22,0.1754089862445599
AMBV4,AMBEV PN,271883000000.0,26.59,0.1754089862445599,planilha_ibx50,Ambev ON,15.22,0.1754089862445599
ABEV3,AMBEV S/A ON,221766000000.0,13.83,0.1772648040296097,fundamentus_calc,Ambev ON,15.22,0.1754089862445599
BBDC4,BANCO BRADESCO S.A. PN N1,203049000000.0,8.83,0.0866134285514057,planilha_ibx50,Bradesco PN,10.03,0.0866134285514057
WEGE3,WEG SA ON N1,194881000000.0,30.06,0.1566653616758016,fundamentus_calc,Weg ON,33.79,0.1563404938614543
BBDC3,BANCO BRADESCO S.A. ON N1,174239000000.0,7.57,0.0866134285514057,planilha_ibx50,Bradesco ON,10.03,0.0866134285514057
AXIA6,AXIA ENERGIA PNB N1,159387000000.0,-26.51,-0.3729275099218803,planilha_ibx50,Energisa Unit,1.45,0.3729275099218803
VALE5,VALE ON NM,151421000000.0,5.02,0.1415010313144571,fundamentus_calc,Vale ON,12.34,0.1395739077290385
AXIA3,AXIA ENERGIA ON N1,149562000000.0,-24.88,-0.0331011744120257,planilha_ibx50,Raia Drogasil ON,32.75,0.0331011744120257
VIVT4,TELEF BRASIL PN,146292000000.0,24.16,0.1033721045388264,fundamentus_calc,Telefônica Brasil ON,19.93,0.1065535760683992
ITSA3,ITAÚSA ON N1,137031000000.0,8.61,1.936343719571568,fundamentus_calc,Itaúsa PN,,
