"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Accor","586,37K","11,4B","5,67B","22,27","1,07"
"Air Liquide","717,45K","97,01B","27,40B","28,28","0,70"
"Capgemini","433,35K","19,52B","22,07B","12,99","0,83"
"Axa","3,5M","79,88B","93,21B","12,12","0,68"
"Danone","1,3M","44,5B","27,36B","27,04","0,25"
"Engie","4,23M","62,78B","74,35B","12,76","0,67"
"BNP Paribas","2,62M","101,89B","47,82B","9,00","1,00"
"Bouygues","626,76K","18,37B","57,16B","17,43","0,68"
"Louis Vuitton","394,69K","265,37B","80,81B","24,42","0,96"
"L'Oreal","302,52K","209,8B","43,84B","34,32","0,83"
"Schneider Electric","838,79K","141,91B","39,32B","33,20","0,95"
"Saint Gobain","1,01M","43,13B","46,96B","15,50","1,18"
"Carrefour","2,2M","10,51B","88,32B","30,29","0,68"
"EssilorLuxottica","480,38K","118,3B","27,24B","49,47","0,75"
"Pernod Ricard","636,29K","20,34B","10,96B","12,46","0,49"
"Credit Agricole","3,55M","54,04B","26,56B","8,14","0,749"
"Orange","3,95M","44,03B","40,27B","40,57","0,17"
"SocGen","2,05M","54,34B","0,00","11,68","0,96"
"Michelin","1,83M","22,72B","26,74B","15,10","0,90"
"Airbus Group","1,01M","150,31B","72,15B","29,67","0,94"
"Sanofi","1,93M","97,09B","46,72B","19,84","0,39"
"TotalEnergies SE","3,68M","133,59B","183,53B","11,86","0,23"
"STMicro","2,52M","21,65B","11,80B","159,74","1,29"
"Vinci","716,98K","73,87B","73,72B","16,06","0,93"
"Renault","1,13M","8,2B","56,91B","-0,71","1,38"
"Veolia Environnement","1,56M","23,52B","44,60B","19,92","0,98"
"Kering","237,03K","30,82B","15,76B","42,30","1,17"
"Unibail-Rodamco","360,52K","13,9B","3,61B","17,96","1,94"
"ArcelorMittal","1,92M","38,74B","61,35B","14,61","1,65"
"Thales","237,16K","51,08B","21,35B","48,87","0,12"
"Dassault Systemes","2,21M","29,06B","6,31B","25,29","0,60"
"Eurofins Scientific SE","284,28K","13,17B","7,30B","33,26","0,90"
"Publicis","548,27K","19,89B","16,86B","11,72","0,85"
"Hermes International","54,46K","213,76B","15,70B","47,75","0,81"
"Safran","462,49K","125,61B","29,38B","29,15","1,15"
"Eiffage","218,2K","12,84B","24,93B","13,06","0,96"
"Legrand","615,52K","36,79B","9,39B","30,14","0,87"
"Bureau Verita","873,13K","12,38B","6,62B","19,24","0,73"
"Euronext","301,39K","11,67B","1,78B","18,61","0,94"
"Stellantis NV","2,79M","17,38B","146,12B","-7,33","1,14"
