name,market_cap,revenue,pe,earnings,margin
Louis Vuitton,265370000000.0,80810000000.0,24.42,10866912366.912367,0.13447484676292992
Hermes International,213760000000.0,15700000000.0,47.75,4476649214.659686,0.2851368926534832
L'Oreal,209800000000.0,43840000000.0,34.32,6113053613.053613,0.13944009153863168
Airbus Group,150310000000.0,72150000000.0,29.67,5066059993.259184,0.07021566172223401
Schneider Electric,141910000000.0,39320000000.0,33.2,4274397590.3614454,0.10870797533981295
TotalEnergies SE,133590000000.0,183530000000.0,11.86,11263912310.286678,0.06137368446731694
Safran,125610000000.0,29380000000.0,29.15,4309090909.090909,0.14666749180023517
EssilorLuxottica,118300000000.0,27240000000.0,49.47,2391348291.8940773,0.08778811644251384
BNP Paribas,101890000000.0,47820000000.0,9.0,11321111111.11111,0.2367442725033691
Sanofi,97090000000.0,46720000000.0,19.84,4893649193.548388,0.10474420362903226
Air Liquide,97010000000.0,27400000000.0,28.28,3430339462.51768,0.12519487089480585
Axa,79880000000.0,93210000000.0,12.12,6590759075.907591,0.07070871232601213
Vinci,73870000000.0,73720000000.0,16.06,4599626400.996264,0.06239319588980283
Engie,62780000000.0,74350000000.0,12.76,4920062695.924765,0.06617434695258594
SocGen,54340000000.0,,11.68,4652397260.2739725,
Credit Agricole,54040000000.0,26560000000.0,8.14,6638820638.820639,0.2499555963411385
Thales,51080000000.0,21350000000.0,48.87,1045222017.5977082,0.04895653478209406
Danone,44500000000.0,27360000000.0,27.04,1645710059.1715977,0.06015022146095021
Orange,44030000000.0,40270000000.0,40.57,1085284693.1229973,0.026950203454755333
Saint Gobain,43130000000.0,46960000000.0,15.5,2782580645.16129,0.05925427268231027
ArcelorMittal,38740000000.0,61350000000.0,14.61,2651608487.33744,0.04322100223858908
Legrand,36790000000.0,9390000000.0,30.14,1220637027.2063704,0.12999329363220133
Kering,30820000000.0,15760000000.0,42.3,728605200.9456265,0.046231294476245334
Dassault Systemes,29060000000.0,6310000000.0,25.29,1149070778.9640174,0.1821031345426335
Veolia Environnement,23520000000.0,44600000000.0,19.92,1180722891.5662649,0.026473607434221186
Michelin,22720000000.0,26740000000.0,15.1,1504635761.589404,0.0562691010317653
STMicro,21650000000.0,11800000000.0,159.74,135532740.7036434,0.011485825483359611
Pernod Ricard,20340000000.0,10960000000.0,12.46,1632423756.0192616,0.1489437733594217
Publicis,19890000000.0,16860000000.0,11.72,1697098976.109215,0.10065830226033304
Capgemini,19520000000.0,22070000000.0,12.99,1502694380.2925327,0.0680876474985289
Bouygues,18370000000.0,57160000000.0,17.43,1053930005.7372347,0.018438243627313413
Stellantis NV,17380000000.0,146120000000.0,-7.33,,
Unibail-Rodamco,13900000000.0,3610000000.0,17.96,773942093.5412027,0.21438839156266
Eurofins Scientific SE,13170000000.0,7300000000.0,33.26,395971136.5003007,0.05424262143839736
Eiffage,12840000000.0,24930000000.0,13.06,983154670.7503828,0.03943660933615655
Bureau Verita,12380000000.0,6620000000.0,19.24,643451143.4511435,0.09719805792313346
Euronext,11670000000.0,1780000000.0,18.61,627082213.8635143,0.35229337857500803
Accor,11400000000.0,5670000000.0,22.27,511899416.2550517,0.09028208399559995
Carrefour,10510000000.0,88320000000.0,30.29,346979201.0564543,0.00392865943225152
Renault,8199999999.999999,56910000000.0,-0.71,,
