"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"BASF","2,35M","42,69B","64,30B","139,99","1,14"
"Bayer","3,57M","44,78B","45,87B","-227,79","0,83"
"Allianz","499,16K","147,06B","105,02B","14,29","0,71"
"Adidas","611,65K","26,98B","24,70B","22,32","1,15"
"Siemens","1,11M","192,93B","78,91B","26,10","1,16"
"Deutsche Bank","5,25M","59,11B","44,46B","10,09","1,07"
"Continental","440,88K","14,15B","39,54B","-114,34","1,28"
"Deutsche Post","1,72M","52,97B","84,05B","16,12","1,15"
"Mercedes Benz Group","2,1M","55,49B","136,97B","8,96","0,73"
"Porsche Automobil Holding SE","627,8K","10,9B","0,00","",""
"Henkel","411,63K","29,98B","21,18B","14,79","0,46"
"Commerzbank","2,84M","37,01B","19,73B","16,34","0,62"
"Deutsche Borse","458,42K","39,03B","7,30B","19,58","0,50"
"BMW","885,25K","53,9B","136,42B","","0,77"
"Fresenius Medical Care","847,68K","11,29B","19,64B","16,72","0,95"
"Deutsche Tel.","6,45M","144,71B","121,02B","12,32","0,28"
"Merck","303,94K","52,88B","21,27B","17,82","0,73"
"Infineon","4,14M","53,72B","14,90B","53,56","1,67"
"Munchener Ruck","254,82K","67,63B","62,10B","11,10","0,45"
"SAP","2,02M","198,46B","36,80B","27,40","0,71"
"Rheinmetall","236,08K","74,26B","11,00B","86,54","0,39"
"Beiersdorf","320,01K","22,5B","9,86B","26,13","0,29"
"Fresenius SE","753,52K","27,73B","22,45B","25,52","0,94"
"GEA Group AG","317,09K","10,17B","5,44B","24,72","0,84"
"Hannover Rueckversicherung AG","126,39K","29,84B","28,34B","12,09","0,24"
"RWE","1,72M","37,85B","21,54B","18,40","0,60"
"Mtu Aero Engines Holding AG","117,11K","20,32B","8,45B","23,31","1,17"
"Symrise AG","399,69K","10,27B","4,99B","20,25","0,50"
"Heidelberg Materials","334,84K","37,4B","21,65B","22,80","1,06"
"E.ON","4,21M","46,49B","83,00B","15,44","0,86"
"Brenntag AG","307,79K","8,06B","15,65B","19,24","0,69"
"Volkswagen VZO","821,25K","51,36B","326,05B","7,61","1,05"
"Vonovia","2,69M","20,96B","7,51B","7,66","1,39"
"Zalando SE","1,47M","5,48B","11,57B","23,17","1,86"
"Scout24 AG","217,64K","5,31B","651,10M","23,59","0,61"
"Airbus Group","252,07K","150,28B","72,15B","29,84","0,94"
"Siemens Healthineers","1,18M","45,77B","23,38B","26,39","0,85"
"Siemens Energy AG","2,39M","124,75B","39,08B","74,75","1,81"
"Daimler Truck Holding","1,12M","33,82B","50,84B","12,57","1,00"
