name,market_cap,revenue,pe,earnings,margin
SAP,198460000000.0,36800000000.0,27.4,7243065693.430657,0.19682243732148524
Siemens,192930000000.0,78910000000.0,26.1,7391954022.988505,0.09367575748306305
Airbus Group,150280000000.0,72150000000.0,29.84,5036193029.490617,0.06980170519044514
Allianz,147060000000.0,105020000000.0,14.29,10291112666.20014,0.09799193169110779
Deutsche Tel.,144710000000.0,121020000000.0,12.32,11745941558.441559,0.0970578545566151
Siemens Energy AG,124750000000.0,39080000000.0,74.75,1668896321.070234,0.04270461415225778
Rheinmetall,74260000000.0,11000000000.0,86.54,858100300.4391032,0.07800911822173666
Munchener Ruck,67629999999.99999,62100000000.0,11.1,6092792792.792792,0.09811260535898217
Deutsche Bank,59110000000.0,44460000000.0,10.09,5858275520.317145,0.13176508142863574
Mercedes Benz Group,55490000000.0,136970000000.0,8.96,6193080357.142857,0.04521486717633684
BMW,53900000000.0,136419999999.99998,,,
Infineon,53720000000.0,14900000000.0,53.56,1002987303.9581777,0.06731458415826695
Deutsche Post,52970000000.0,84050000000.0,16.12,3285980148.8833747,0.03909554014138459
Merck,52880000000.0,21270000000.0,17.82,2967452300.785634,0.1395135073241953
Volkswagen VZO,51360000000.0,326050000000.0,7.61,6749014454.664914,0.02069932358431196
E.ON,46490000000.0,83000000000.0,15.44,3011010362.6943007,0.036277233285473505
Siemens Healthineers,45770000000.0,23380000000.0,26.39,1734369079.1966653,0.07418173991431418
Bayer,44780000000.0,45870000000.0,-227.79,,
BASF,42690000000.0,64300000000.0,139.99,304950353.59668547,0.004742618251892465
Deutsche Borse,39030000000.0,7300000000.0,19.58,1993360572.0122576,0.27306309205647367
RWE,37850000000.0,21540000000.0,18.4,2057065217.3913045,0.09549977796617012
Heidelberg Materials,37400000000.0,21650000000.0,22.8,1640350877.1929824,0.07576678416595761
Commerzbank,37010000000.0,19730000000.0,16.34,2264993880.0489597,0.114799487078001
Daimler Truck Holding,33820000000.0,50840000000.0,12.57,2690533015.115354,0.05292157779534528
Henkel,29980000000.0,21180000000.0,14.79,2027045300.8789723,0.09570563271383249
Hannover Rueckversicherung AG,29840000000.0,28340000000.0,12.09,2468155500.413565,0.08709087863138903
Fresenius SE,27730000000.0,22450000000.0,25.52,1086598746.0815048,0.048400835014766365
Adidas,26980000000.0,24700000000.0,22.32,1208781362.0071685,0.04893851668045217
Beiersdorf,22500000000.0,9860000000.0,26.13,861079219.2881745,0.08733054962354711
Vonovia,20960000000.0,7510000000.0,7.66,2736292428.1984334,0.36435318617822016
Mtu Aero Engines Holding AG,20320000000.0,8449999999.999999,23.31,871728871.7288718,0.10316318008625704
Continental,14150000000.0,39540000000.0,-114.34,,
Fresenius Medical Care,11290000000.0,19640000000.0,16.72,675239234.4497608,0.03438081641801226
Porsche Automobil Holding SE,10900000000.0,,,,
Symrise AG,10270000000.0,4990000000.0,20.25,507160493.8271605,0.10163536950444098
GEA Group AG,10170000000.0,5440000000.0,24.72,411407766.9902913,0.07562642775556826
Brenntag AG,8060000000.000001,15650000000.0,19.24,418918918.918919,0.02676798203954754
Zalando SE,5480000000.0,11570000000.0,23.17,236512731.9810099,0.02044189559040708
Scout24 AG,5310000000.0,651100000.0,23.59,225095379.39805,0.3457155266442175
