"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"British American Tobacco","4,32M","99,31B","25,60B","33,10","0,16"
"HSBC","21,01M","221,29B","99,37B","18,84","0,39"
"Barclays","37,67M","65,7B","26,02B","11,41","0,854"
"InterContinental","409,63K","21,28B","5,12B","29,95","1,15"
"BP","36,71M","72,95B","185,93B","67,97","0,03"
"Next","438,54K","15,01B","6,40B","19,53","1,09"
"Lloyds Banking","153,83M","62,06B","18,62B","15,28","0,978"
"EasyJet","3,82M","3,6B","10,11B","7,44","1,86"
"Marks & Spencer","10,31M","7,78B","15,28B","406,12","1,03"
"NatWest Group","19,05M","52,56B","25,61B","10,25","0,92"
"Prudential","5M","29,69B","13,34B","12,30","1,05"
"Vodafone Group PLC","82,49M","26,09B","38,78B","-7,32","0,26"
"AstraZeneca","2,24M","217,66B","58,13B","31,42","0,192"
"Legal & General","18,61M","15,07B","12,45B","60,16","1,13"
"Imperial Brands","1,86M","26B","18,98B","13,25","0,20"
"Reckitt Benckiser","1,62M","41,12B","13,98B","33,91","0,099"
"Kingfisher","6,1M","5,81B","12,84B","33,86","0,72"
"Relx","5,61M","38,82B","9,53B","20,82","0,48"
"Centrica","17,87M","8,64B","19,50B","-39,15","0,44"
"3I Group","2,7M","33,81B","6,62B","5,12","1,07"
"WPP","7,58M","2,82B","14,18B","7,59","0,75"
"Tesco","14,66M","28,74B","71,18B","19,98","0,62"
"Diageo","5,65M","39,28B","20,25B","22,69","0,33"
"Hikma Pharma","806,16K","3,38B","3,22B","12,41","0,60"
"F&C Invest","423,55K","5,93B","405,17M","17,37","0,42"
"Rio Tinto PLC","2,93M","111,25B","53,73B","14,66","0,617"
"Anglo American","5,18M","36,93B","26,66B","-34,23","0,98"
"Bunzl","1M","6,89B","11,82B","14,66","0,28"
"GSK plc","8,26M","87,64B","32,67B","15,48","0,272"
"Barratt Redrow","4,41M","5,44B","5,58B","29,11","1,37"
"Aviva","6,42M","19,72B","24,26B","29,41","0,80"
"Sage","4,04M","7,89B","2,51B","22,86","0,45"
"Pearson","2,13M","5,67B","3,52B","13,62","0,29"
"Associated British Foods","908,28K","13,57B","19,46B","13,54","0,89"
"London Stock Exchange","1,5M","38,26B","9,14B","41,22","0,36"
"BAE Systems","6,96M","55,47B","27,41B","26,29","0,32"
"Antofagasta","1,26M","35,18B","7,46B","43,66","1,25"
"Rolls-Royce Holdings","24,77M","101,3B","19,54B","17,70","1,22"
"Whitbread","858,41K","4,52B","2,90B","19,04","0,67"
"Vistry Group","1,23M","2,11B","3,69B","60,49","1,76"
"Persimmon","1,48M","4,53B","3,39B","17,80","1,27"
"Admiral Group","767,05K","8,53B","5,24B","10,34","0,26"
"United Utilities","1,47M","8,72B","2,37B","21,75","0,51"
"Unilever","3,53M","115,74B","59,77B","21,52","0,22"
"SSE","3,72M","30,53B","10,31B","28,98","0,64"
"Standard Chartered","4,6M","42,11B","25,30B","13,50","0,43"
"Informa","3,74M","10,71B","3,89B","150,83","0,73"
"Weir Group","865,11K","8,74B","2,49B","28,36","1,00"
"Severn Trent","702,2K","9,03B","2,65B","28,55","0,48"
"Smiths Group","1,25M","8,05B","2,92B","31,84","0,58"
"Melrose Industries","3,03M","7,85B","3,45B","25,43","1,12"
"Smith & Nephew","2,43M","10,68B","5,94B","30,59","0,66"
