name,market_cap,revenue,pe,earnings,margin
HSBC,221290000000.0,99370000000.0,18.84,11745753715.498938,0.11820221108482376
AstraZeneca,217660000000.0,58130000000.0,31.42,6927434754.933164,0.1191714218980417
Shell,157780000000.0,273730000000.00003,12.27,12859005704.971476,0.046976968929132626
Unilever,115740000000.0,59770000000.0,21.52,5378252788.10409,0.08998247930574016
Rio Tinto PLC,111250000000.0,53730000000.0,14.66,7588676671.214189,0.1412372356451552
Rolls-Royce Holdings,101300000000.0,19540000000.0,17.7,5723163841.80791,0.2928947718427794
British American Tobacco,99310000000.0,25600000000.0,33.1,3000302114.803625,0.1171993013595166
GSK plc,87640000000.0,32670000000.0,15.48,5661498708.010336,0.17329350192869103
BP,72950000000.0,185930000000.0,67.97,1073267618.0667942,0.0057724284304135655
Barclays,65700000000.0,26020000000.0,11.41,5758106923.751096,0.22129542366453098
National Grid,64060000000.0,17480000000.0,22.1,2898642533.936651,0.16582623191857274
Lloyds Banking,62060000000.0,18620000000.0,15.28,4061518324.60733,0.21812665545689205
Glencore,56670000000.0,231250000000.0,-38.69,,
BAE Systems,55470000000.0,27410000000.0,26.29,2109927729.174591,0.07697656801074758
NatWest Group,52560000000.0,25610000000.0,10.25,5127804878.04878,0.20022666450795706
Standard Chartered,42110000000.0,25300000000.0,13.5,3119259259.259259,0.12329087981261894
Reckitt Benckiser,41120000000.0,13980000000.0,33.91,1212621645.5322914,0.08673974574622971
Diageo,39280000000.0,20250000000.0,22.69,1731159100.9255178,0.08548933831730952
Relx,38820000000.0,9530000000.0,20.82,1864553314.1210375,0.19565092488153593
London Stock Exchange,38260000000.0,9140000000.0,41.22,928190198.932557,0.10155253817642855
Anglo American,36930000000.0,26660000000.0,-34.23,,
Compass,36660000000.0,46070000000.0,26.65,1375609756.0975611,0.029859122120632974
HALEON,35560000000.0,11020000000.0,19.8,1795959595.959596,0.1629727401052265
Antofagasta,35180000000.0,7460000000.0,43.66,805771873.5684838,0.10801231549175387
3I Group,33810000000.000004,6620000000.0,5.12,6603515625.000001,0.9975099131419941
SSE,30530000000.0,10310000000.0,28.98,1053485162.1808144,0.10218090806797424
Prudential,29690000000.0,13340000000.0,12.3,2413821138.211382,0.1809461123096988
Tesco,28740000000.0,71180000000.0,19.98,1438438438.4384384,0.020208463591436337
Fresnillo,26870000000.0,3940000000.0,79.83,336590254.29036707,0.08542899855085459
Vodafone Group PLC,26090000000.0,38780000000.0,-7.32,,
Imperial Brands,26000000000.0,18980000000.0,13.25,1962264150.9433963,0.10338588782631171
Experian,23250000000.0,7970000000.0,23.36,995291095.890411,0.12487968580808169
InterContinental,21280000000.0,5120000000.0,29.95,710517529.215359,0.1387729549248748
BT Group,20250000000.0,20050000000.0,21.53,940548072.4570366,0.046910128302096586
Ashtead Group,20160000000.0,10860000000.0,20.03,1006490264.6030953,0.09267866156566255
Aviva,19720000000.0,24260000000.0,29.41,670520231.2138728,0.027638921319615532
IAG,19600000000.0,33280000000.0,7.71,2542153047.989624,0.07638681033622668
Flutter Entertainment,19330000000.0,15440000000.0,-119.35,,
Smurfit Westrock,16600000000.000002,31140000000.0,30.59,542661000.3269043,0.01742649326675993
Coca Cola HBC AG,15520000000.0,11200000000.0,19.62,791029561.6717634,0.07062763943497888
Legal & General,15070000000.0,12450000000.0,60.16,250498670.21276596,0.020120375117491242
Next,15010000000.0,6400000000.0,19.53,768561187.9160266,0.12008768561187916
Associated British Foods,13570000000.0,19460000000.0,13.54,1002215657.3116692,0.05150131846411456
Halma,13300000000.0,2410000000.0,38.47,345723940.7330387,0.14345391731661358
Scottish Mortgage,13040000000.0,3760000000.0,3.96,3292929292.929293,0.875779067268429
Rentokil,11680000000.0,5490000000.0,61.87,188782931.9540973,0.03438669070202137
Airtel Africa,11680000000.0,6010000000.0,30.28,385733157.1994716,0.06418188971705018
Informa,10710000000.0,3890000000.0,150.83,71007094.07942717,0.018253751691369453
Smith & Nephew,10680000000.0,5940000000.0,30.59,349133703.82477933,0.05877671781561942
Segro,10180000000.0,699000000.0,16.44,619221411.192214,0.8858675410475164
