"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Telecom Italia","206,86M","12,5B","14,43B","","0,67"
"Stellantis NV","22,43M","17,75B","146,12B","-7,23","1,14"
"Assicurazioni Generali","2,36M","53,65B","56,79B","14,10","0,67"
"Snam Rete","5,85M","20,16B","3,76B","14,87","0,71"
"Prysmian","1,04M","29,13B","19,49B","25,27","0,83"
"Intesa","48,72M","103,26B","25,53B","11,61","0,805"
"UniCredit","4,82M","114,99B","0,00","10,86","1,22"
"Banca Mediolanum","1,17M","14,52B","2,14B","11,76","0,80"
"Leonardo","2,94M","30,53B","19,13B","27,89","0,45"
"Enel","20,46M","95,66B","77,78B","15,99","0,88"
"Tenaris","2,57M","19,66B","11,83B","12,35","0,57"
"Eni SpA","9,88M","53,32B","86,56B","21,78","0,55"
"Unipol Gruppo","1,26M","14,06B","10,54B","12,49","0,86"
"BCA MPS","28,9M","26,85B","4,60B","6,57","0,94"
"Buzzi Unicem","589,59K","8,87B","4,47B","9,64","1,11"
"A2A","10,32M","7,98B","13,71B","10,86","0,94"
"Terna","3,3M","18,98B","3,89B","16,46",""
"Mediobanca","1,52M","15,14B","0,00","11,82","0,62"
"Banco Bpm","6,18M","19,03B","0,00","10,07","0,62"
"Saipem","40,2M","6,04B","15,40B","18,78","1,78"
"Azimut","1,07M","5,11B","1,48B","9,85","1,05"
"Campari","8,36M","7,53B","3,07B","42,46","0,45"
"Bper Banca","9,32M","24,84B","5,94B","13,65","0,74"
"DiaSorin","382,11K","4B","1,21B","21,69","0,57"
"Amplifon SpA","1,7M","2,97B","2,41B","26,25","0,84"
"Banca Popolare di Sondrio","694,31K","8,19B","1,66B","12,63","0,717"
"Hera SpA","3,43M","6,23B","13,91B","12,20","0,85"
"Interpump Group","284,57K","5,18B","2,07B","23,64","1,36"
"Recordati","309,88K","9,72B","2,55B","24,53","0,66"
"STMicro","4,64M","21,61B","11,80B","158,58","1,29"
"Brunello Cucinelli SpA","394,58K","5,55B","1,34B","42,04","1,06"
"Moncler SpA","895,41K","12,94B","3,10B","21,02","1,24"
"FinecoBank","1,63M","13,6B","0,00","21,22","0,75"
"Inwit","3,06M","7,22B","1,07B","18,87","0,62"
"Poste Italiane","1,88M","29,67B","13,87B","13,71","0,75"
"Ferrari NV","502,76K","49,96B","7,08B","31,22","0,59"
"Italgas","3,39M","10,56B","3,05B","16,53","0,65"
"Nexi","10,3M","4,17B","6,34B","21,31","1,25"
"Iveco NV","1,06M","5,02B","14,55B","18,64","1,49"
"Lottomatica","1,04M","5,22B","2,22B","",""
