name,market_cap,revenue,pe,earnings,margin
UniCredit,114990000000.0,,10.86,10588397790.055248,
Intesa,103260000000.0,25530000000.0,11.61,8894056847.54522,0.3483766881137963
Enel,95660000000.0,77780000000.0,15.99,5982489055.659787,0.07691551884365887
Assicurazioni Generali,53650000000.0,56790000000.0,14.1,3804964539.0070925,0.06700060818818616
Eni SpA,53320000000.0,86560000000.0,21.78,2448117539.02663,0.028282319073782692
Ferrari NV,49960000000.0,7080000000.0,31.22,1600256245.9961565,0.226024893502282
Leonardo,30530000000.0,19130000000.0,27.89,1094657583.3632126,0.057222037813027316
Poste Italiane,29670000000.0,13870000000.0,13.71,2164113785.5579867,0.15602839117216918
Prysmian,29130000000.0,19490000000.0,25.27,1152750296.7946181,0.0591457309797136
BCA MPS,26850000000.0,4600000000.0,6.57,4086757990.86758,0.8884256501886043
Bper Banca,24840000000.0,5940000000.0,13.65,1819780219.7802198,0.30636030636030637
STMicro,21610000000.0,11800000000.0,158.58,136271913.2299155,0.011548467222874195
Snam Rete,20160000000.0,3760000000.0,14.87,1355749831.876261,0.36057176379687794
Tenaris,19660000000.0,11830000000.0,12.35,1591902834.0080972,0.13456490566425167
Banco Bpm,19030000000.0,,10.07,1889771598.8083415,
Terna,18980000000.0,3890000000.0,16.46,1153098420.4131227,0.2964263291550444
Stellantis NV,17750000000.0,146120000000.0,-7.23,,
Mediobanca,15140000000.0,,11.82,1280879864.6362097,
Banca Mediolanum,14520000000.0,2140000000.0000002,11.76,1234693877.5510204,0.5769597558649627
Unipol Gruppo,14060000000.0,10540000000.0,12.49,1125700560.4483588,0.10680270971995814
FinecoBank,13600000000.0,,21.22,640904806.7860509,
Moncler SpA,12940000000.0,3100000000.0,21.02,615604186.489058,0.19858199564163162
Telecom Italia,12500000000.0,14430000000.0,,,
Italgas,10560000000.0,3050000000.0,16.53,638838475.4990925,0.2094552378685549
Recordati,9720000000.0,2550000000.0,24.53,396249490.419894,0.1553919570274094
Buzzi Unicem,8870000000.0,4470000000.0,9.64,920124481.3278008,0.2058444029816109
Banca Popolare di Sondrio,8189999999.999999,1660000000.0,12.63,648456057.0071257,0.3906361789199553
A2A,7980000000.0,13710000000.0,10.86,734806629.8342541,0.05359639896675814
Campari,7530000000.0,3070000000.0,42.46,177343382.00659445,0.05776657394351611
Inwit,7220000000.0,1070000000.0000001,18.87,382617912.02967674,0.35758683367259503
Hera SpA,6230000000.0,13910000000.0,12.2,510655737.7049181,0.03671141176886543
Saipem,6040000000.0,15400000000.0,18.78,321618743.34398293,0.020884333983375514
Brunello Cucinelli SpA,5550000000.0,1340000000.0,42.04,132017126.54614653,0.09852024369115413
Lottomatica,5220000000.0,2220000000.0,,,
Interpump Group,5180000000.0,2069999999.9999998,23.64,219120135.36379018,0.10585513785690348
Azimut,5110000000.0,1480000000.0,9.85,518781725.8883249,0.3505281931677871
Iveco NV,5020000000.0,14550000000.0,18.64,269313304.72103006,0.018509505479108596
Nexi,4170000000.0,6340000000.0,21.31,195682778.0384796,0.03086479148871918
DiaSorin,4000000000.0,1210000000.0,21.69,184416781.92715535,0.15241056357616145
Amplifon SpA,2970000000.0,2410000000.0,26.25,113142857.14285715,0.04694724362774155
