"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"ACS","374,82K","24,59B","48,69B","28,11","0,53"
"Acerinox","871,66K","3,29B","5,80B","47,15","1,04"
"BBVA","8,25M","115,29B","59,86B","11,70","1,01"
"Bankinter","1,53M","12,91B","3,89B","","-0,05"
"Acciona","66,67K","9,97B","21,69B","11,89","0,87"
"Caixabank","6,05M","76,67B","0,00","13,17","0,10"
"Enagas","959,05K","3,75B","949,35M","-11,50","0,35"
"Naturgy Energy","1,31M","25,37B","19,93B","12,75","0,45"
"Grifols","1,31M","6,6B","7,52B","19,56","1,19"
"Ferrovial","700,94K","42,79B","9,35B","11,99","0,76"
"Redeia Corporacion","1,26M","8,2B","1,69B","22,64","0,45"
"Inditex","1,85M","177,17B","39,38B","29,32","0,97"
"Repsol","3,91M","18,19B","48,91B","17,65","0,19"
"Iberdrola","6,53M","129,42B","45,49B","25,03","0,65"
"Indra","823,29K","8,59B","5,18B","22,39","0,65"
"Mapfre","4,33M","12,15B","30,38B","10,63","0,27"
"Telefonica","11,68M","20,44B","41,62B","-19,57","0,24"
"Sacyr Valle","1,88M","3,3B","4,73B","24,25","0,76"
"Banco de Sabadell","12,53M","15,42B","0,00","8,49","0,65"
"Santander","21,92M","155,84B","49,98B","11,17","0,941"
"Inmob colonial","1,39M","3,27B","519,00M","7,38","1,30"
"IAG","7,12M","22,73B","33,28B","7,71","1,40"
"Endesa","708,54K","33,22B","21,12B","15,39","0,65"
"Amadeus","662,54K","22,72B","6,44B","17,27","0,70"
"Laboratorios Farmaceuticos ROVI SA","100,21K","3,72B","724,20M","30,71","0,15"
"Solaria Energia y Medio Ambiente","921,73K","2,19B","311,99M","12,66","1,35"
"Fluidra SA","219,83K","4,76B","2,25B","26,75","1,01"
"ArcelorMittal","179,27K","38,79B","61,35B","14,61","1,65"
"Merlin Properties SA","861,96K","7,29B","536,47M","10,29","0,97"
"Logista","210,63K","4,42B","13,54B","15,73","0,50"
"Aena","1,18M","41,56B","6,17B","20,15","0,90"
"Cellnex Telecom","1,38M","18,13B","4,10B","-124,50","1,23"
"Unicaja Banco","4,91M","7,02B","2,42B","7,89","0,37"
"Corporacion Acciona Energias Renovables","247,64K","6,87B","4,53B","9,33","0,55"
"Puig Brands","590,05K","9,55B","4,92B","",""
