name,market_cap,revenue,pe,earnings,margin
Inditex,177170000000.0,39380000000.0,29.32,6042633015.006822,0.15344421064009198
Santander,155840000000.0,49980000000.0,11.17,13951656222.023277,0.2791447823534069
Iberdrola,129419999999.99998,45490000000.0,25.03,5170595285.65721,0.11366443802280084
BBVA,115290000000.0,59860000000.0,11.7,9853846153.846155,0.16461487059549207
Caixabank,76670000000.0,,13.17,5821564160.971906,
Ferrovial,42790000000.0,9350000000.0,11.99,3568807339.449541,0.38169062454005787
Aena,41560000000.0,6170000000.0,20.15,2062531017.3697271,0.33428379535976127
ArcelorMittal,38790000000.0,61350000000.0,14.61,2655030800.8213553,0.04327678566945974
Endesa,33220000000.0,21120000000.0,15.39,2158544509.4217024,0.10220381199913364
Naturgy Energy,25370000000.0,19930000000.0,12.75,1989803921.5686274,0.09983963480023218
ACS,24590000000.0,48690000000.0,28.11,874777659.1960157,0.01796626944333571
IAG,22730000000.0,33280000000.0,7.71,2948119325.5512323,0.08858531627257309
Amadeus,22720000000.0,6440000000.0,17.27,1315576143.6016214,0.20428200987602815
Telefonica,20440000000.0,41620000000.0,-19.57,,
Repsol,18190000000.0,48910000000.0,17.65,1030594900.8498584,0.021071251295233254
Cellnex Telecom,18130000000.0,4099999999.9999995,-124.5,,
Banco de Sabadell,15420000000.0,,8.49,1816254416.9611306,
Bankinter,12910000000.0,3890000000.0,,,
Mapfre,12150000000.0,30380000000.0,10.63,1142991533.3960488,0.037623157781305094
Acciona,9970000000.0,21690000000.0,11.89,838519764.5079899,0.03865927913821991
Puig Brands,9550000000.0,4920000000.0,,,
Indra,8590000000.0,5180000000.0,22.39,383653416.7038857,0.07406436615905129
Redeia Corporacion,8199999999.999999,1690000000.0,22.64,362190812.720848,0.2143140903673657
Merlin Properties SA,7290000000.0,536470000.0,10.29,708454810.4956269,1.3205860728384196
Unicaja Banco,7020000000.0,2420000000.0,7.89,889733840.3041825,0.3676586116959432
Corporacion Acciona Energias Renovables,6870000000.0,4530000000.0,9.33,736334405.1446946,0.1625462263012571
Grifols,6600000000.0,7520000000.0,19.56,337423312.8834356,0.044870121394073884
Fluidra SA,4760000000.0,2250000000.0,26.75,177943925.23364487,0.07908618899273105
Logista,4420000000.0,13540000000.0,15.73,280991735.5371901,0.020752713112052443
Enagas,3750000000.0,949350000.0,-11.5,,
Laboratorios Farmaceuticos ROVI SA,3720000000.0,724200000.0,30.71,121133181.37414522,0.16726481824654132
Sacyr Valle,3300000000.0,4730000000.0,24.25,136082474.22680414,0.028770079117717576
Acerinox,3290000000.0,5800000000.0,47.15,69777306.46871686,0.012030570080813251
Inmob colonial,3270000000.0,519000000.0,7.38,443089430.8943089,0.8537368610680326
Solaria Energia y Medio Ambiente,2190000000.0,311990000.0,12.66,172985781.9905213,0.5544593800779554
