"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Anglo American","779,56K","808,97B","26,66B","-34,42","0,98"
"FirstRand Ltd","11,58M","525,43B","198,73B","12,58","0,66"
"Investec Ltd","649,43K","111,21B","1,99B","8,45","0,48"
"Nedbank Group","1,72M","125,64B","125,74B","7,93","0,36"
"Sanlam Ltd","3,16M","210,48B","230,89B","10,80","0,61"
"Standard Bank Grp","2,6M","496,63B","0,00","11,06","0,58"
"Shoprite Holdings","1,35M","142,7B","252,70B","19,40","0,43"
"British American Tobacco","610,87K","2,18T","25,60B","33,27","0,16"
"Investec","893,76K","112,61B","1,99B","8,57","0,48"
"Mondi","663,38K","85,53B","7,59B","23,81","0,71"
"Old Mutual","24,41M","66,54B","107,61B","10,66","0,93"
"Sasol Ltd","2,62M","70,11B","249,10B","5,88","0,17"
"Valterra Platinum","926,13K","373,02B","99,11B","284,61","1,09"
"Naspers","1,81M","734,93B","7,86B","8,69","0,93"
"Gold Fields","2,11M","770,9B","6,56B","25,85","0,62"
"Discovery Holdings","1,36M","156,96B","87,81B","16,89","0,84"
"RMB Holdings","1,86M","625,95M","92,00M","-2,53","0,06"
"Remgro","890,67K","101,18B","51,51B","31,25","0,42"
"MTN Group","4,1M","339,33B","206,75B","44,51","0,89"
"AngloGold Ashanti ADR","1,06M","829,89B","8,57B","22,62","0,61"
"Woolworths Holdings","3,53M","49,96B","79,54B","20,43","0,31"
"Aspen Pharmacare Holdings","942,57K","49,73B","43,36B","-45,91","0,40"
"Impala Platinum Holdings","3,35M","245,45B","85,46B","327,99","1,07"
"Exxaro Resources","473,49K","46,57B","42,32B","5,76","0,27"
"Bidvest Group Ltd","755,67K","82,85B","126,61B","14,09","0,30"
"Vodacom Group","1,34M","295,9B","160,27B","16,04","0,28"
"Absa","2,59M","211,41B","164,44B","9,26","0,37"
"Growthpoint Properties","7,58M","63B","13,57B","11,55","0,72"
"Reinet Invest","347,66K","101,51B","137,00M","39,86","0,52"
"Mr Price","1,55M","43,9B","41,43B","12,16","0,49"
"Capitec Bank","208,03K","513,53B","32,04B","33,50","0,87"
"Clicks","755,42K","76,28B","47,83B","23,81","0,31"
"Anheuser Busch Inbev","248,91K","2,38T","58,61B","25,31","0,68"
"Bid Corp","764,59K","143,63B","235,59B","17,65","0,49"
"Glencore","3,85M","1,23T","231,25B","-38,49","0,89"
"NEPI Rockcastle","1,41M","104,97B","890,85M","9,59","0,56"
"Prosus","776,48K","2,05T","6,83B","7,88","0,83"
"Northam Platinum Holdings","2,29M","134,18B","32,90B","95,64","0,92"
"BHP Group Ltd","542,32K","2,79T","51,26B","19,11","0,72"
