name,market_cap,revenue,pe,earnings,margin
BHP Group Ltd,2790000000000.0,51260000000.0,19.11,145996860282.5746,2.8481634858091023
Anheuser Busch Inbev,2380000000000.0,58610000000.0,25.31,94033978664.55946,1.6044016151605436
British American Tobacco,2180000000000.0002,25600000000.0,33.27,65524496543.432526,2.5595506462278332
Prosus,2049999999999.9998,6830000000.0,7.88,260152284263.95935,38.0896463051185
Glencore,1230000000000.0,231250000000.0,-38.49,,
AngloGold Ashanti ADR,829890000000.0,8570000000.0,22.62,36688328912.46684,4.281018542878278
Anglo American,808970000000.0,26660000000.0,-34.42,,
Gold Fields,770900000000.0,6560000000.0,25.85,29822050290.135395,4.5460442515450294
Naspers,734930000000.0,7860000000.0,8.69,84571921749.13695,10.759786482078493
FirstRand Ltd,525429999999.99994,198730000000.0,12.58,41767090620.03179,0.2101700328084929
Capitec Bank,513530000000.0,32040000000.0,33.5,15329253731.343283,0.478441127694859
Standard Bank Grp,496630000000.0,,11.06,44903254972.87522,
Valterra Platinum,373020000000.0,99110000000.0,284.61,1310635606.6195846,0.013224050112194376
MTN Group,339330000000.0,206750000000.0,44.51,7623680071.893957,0.03687390603092603
Vodacom Group,295900000000.0,160270000000.0,16.04,18447630922.693268,0.11510345618452154
Impala Platinum Holdings,245450000000.0,85460000000.0,327.99,748345986.1581146,0.00875668132644646
Absa,211410000000.0,164440000000.0,9.26,22830453563.714905,0.13883759160614756
Sanlam Ltd,210480000000.0,230890000000.0,10.8,19488888888.88889,0.08440767850010347
Discovery Holdings,156960000000.0,87810000000.0,16.89,9293072824.156305,0.10583160032065032
Bid Corp,143630000000.0,235590000000.0,17.65,8137677053.824364,0.03454169130194135
Shoprite Holdings,142700000000.0,252700000000.0,19.4,7355670103.092784,0.029108310657272592
Northam Platinum Holdings,134180000000.0,32900000000.0,95.64,1402969468.8414888,0.04264344890095711
Nedbank Group,125640000000.0,125740000000.0,7.93,15843631778.058008,0.12600311577905207
Investec,112610000000.0,1990000000.0,8.57,13140023337.22287,6.603026802624558
Investec Ltd,111210000000.0,1990000000.0,8.45,13160946745.562132,6.6135410781719255
NEPI Rockcastle,104970000000.0,890850000.0,9.59,10945776850.88634,12.286891003969624
Reinet Invest,101510000000.0,137000000.0,39.86,2546663321.62569,18.588783369530585
Remgro,101180000000.0,51510000000.0,31.25,3237760000.0,0.06285692098621627
Mondi,85530000000.0,7590000000.0,23.81,3592188156.2368755,0.4732790719679678
Bidvest Group Ltd,82850000000.0,126610000000.0,14.09,5880056777.856636,0.046442277686254134
Clicks,76280000000.0,47830000000.0,23.81,3203695926.0814786,0.06698088910895837
Sasol Ltd,70110000000.0,249100000000.0,5.88,11923469387.755102,0.04786619585610238
Old Mutual,66540000000.00001,107610000000.0,10.66,6242026266.416511,0.05800600563531745
Growthpoint Properties,63000000000.0,13570000000.0,11.55,5454545454.545454,0.40195618677564143
Woolworths Holdings,49960000000.0,79540000000.0,20.43,2445423396.965247,0.030744573761192447
Aspen Pharmacare Holdings,49730000000.0,43360000000.0,-45.91,,
Exxaro Resources,46570000000.0,42320000000.0,5.76,8085069444.444445,0.19104606437723168
Mr Price,43900000000.0,41430000000.0,12.16,3610197368.4210525,0.0871396902829122
RMB Holdings,625950000.0,92000000.0,-2.53,,
