"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Intel","101,18M","240,97B","52,85B","-808,83","1,35"
"Microsoft","29,08M","2,92T","305,45B","24,56","1,08"
"Cisco","21,76M","325,41B","57,70B","32,04","0,87"
"Kraft Heinz","15,05M","28,94B","25,16B","-6,69","0,08"
"Vertex","1,39M","116,41B","11,72B","32,28","0,32"
"Monster Beverage","5,82M","79,87B","7,98B","46,60","0,49"
"Cintas","2,02M","77,62B","10,79B","42,54","0,97"
"Autodesk","1,74M","50,37B","6,89B","46,17","1,48"
"Gilead","7,23M","185,32B","29,09B","23,28","0,33"
"Alphabet A","36,84M","4,01T","402,84B","30,81","1,09"
"Adobe","4,49M","110,58B","23,77B","16,20","1,53"
"Qualcomm","9,32M","145,43B","44,87B","30,39","1,24"
"Warner Bros Discovery","42,02M","66,35B","37,86B","138,95","1,57"
"Applied Materials","7,71M","241,28B","28,37B","34,93","1,67"
"Cadence Design","1,87M","73,53B","5,21B","69,97","1,02"
"Microchip","9,23M","42,18B","4,21B","-173,13","1,45"
"Intuitive Surgical","1,9M","169,16B","10,06B","60,80","1,66"
"Paychex","3,39M","35,24B","6,03B","22,20","0,90"
"Apple","47,9M","4,05T","435,62B","35,03","1,09"
"Fastenal","8,06M","54,34B","8,20B","43,39","0,89"
"PACCAR","3,27M","66,95B","28,44B","28,37","1,02"
"Amazon.com","41,23M","2,38T","691,33B","31,47","1,38"
"Ross Stores","2,65M","61,21B","22,03B","29,55","0,993"
"Costco","2,72M","439,12B","280,39B","53,21","0,98"
"Lam Research","12,03M","266,38B","20,56B","43,76","1,78"
"Intuit","2,41M","121,02B","19,43B","29,94","1,27"
"Cognizant A","4,83M","36,81B","21,11B","16,34","0,957"
"KLA Corp","1,08M","174,47B","12,74B","38,82","1,44"
"Amgen","2,93M","198,05B","36,75B","23,79","0,472"
"Electronic Arts","2,2M","49,53B","7,31B","73,61","0,745"
"NVIDIA","182,44M","4,18T","187,14B","42,83","2,27"
"Starbucks","9,88M","109,45B","37,70B","80,43","0,94"
"Axon Enterprise","883,63K","31,75B","2,56B","128,60","1,40"
"Comcast","37,09M","110,99B","123,71B","5,66","0,793"
"Marvell","16,92M","64,76B","7,79B","26,20","1,95"
"Analog Devices","3,93M","157,4B","11,02B","71,16","1,05"
"Xcel Energy","5,23M","45,03B","14,67B","22,28","0,454"
"CSX","13,46M","74,24B","14,09B","25,94","1,30"
"Exelon","7,36M","44,51B","24,32B","15,77","0,55"
"Walmart","29,4M","1,01T","703,06B","44,56","0,64"
"Micron","31,76M","430,95B","42,31B","36,00","1,51"
"Western Digital","9,13M","88,21B","10,73B","24,18","1,85"
"Marriott Int","1,52M","87,6B","6,87B","34,49","1,17"
"American Electric Power","3,44M","64,42B","21,26B","17,70","0,61"
"Texas Instruments","7,81M","203,15B","17,68B","41,27","0,99"
"Coca-Cola European","1,55M","42,64B","20,88B","24,35","0,58"
"Honeywell","4,28M","148,47B","37,44B","31,10","0,93"
"AMD","40,4M","313,85B","34,64B","76,70","1,95"
"Baker Hughes","8,19M","56,6B","27,73B","22,18","0,89"
"PepsiCo","8,16M","228,95B","93,93B","27,70","0,416"
"Seagate","4,25M","88,42B","10,06B","45,45","1,62"
"ADP","2,39M","94,21B","21,21B","22,44","0,85"
"Keurig Dr Pepper","13,26M","38,05B","16,17B","24,22","0,36"
"Netflix","46,05M","341,45B","45,18B","32,06","1,71"
"Booking","259,97K","143,23B","26,04B","29,20","1,25"
"O’Reilly Automotive","5,6M","78,18B","17,78B","32,57","0,616"
"Roper Technologies","1,28M","37,42B","7,90B","24,91","0,94"
"Broadcom","30,73M","1,47T","63,89B","65,21","1,20"
"NXP","2,97M","55,9B","12,27B","27,80","1,46"
"Tesla","73,23M","1,49T","94,83B","335,37","1,89"
"Take-Two","1,84M","35,78B","6,56B","-9,20","0,931"
"Alnylam","1,44M","43,76B","3,21B","","0,35"
"Charter Communications","1,98M","31,77B","54,77B","6,20","1,05"
"CoStar","5,32M","21,61B","3,06B","","0,84"
"DexCom","5,55M","27,26B","4,52B","39,06","1,52"
"Fortinet","6,11M","58,7B","6,55B","32,56","1,09"
"IDEXX Labs","540,19K","51,39B","4,30B","49,45","1,66"
"Insmed","3,03M","32,21B","447,02M","-24,38","1,03"
"MercadoLibre","541,72K","103,16B","26,19B","49,70","1,42"
"Monolithic","678,71K","55,38B","2,66B","29,51","1,46"
"Strategy","21,28M","34,66B","474,94M","3,95","3,43"
"T-Mobile US","5,53M","225,78B","85,85B","19,45","0,44"
"Meta Platforms","17,66M","1,7T","200,97B","28,81","1,29"
"Ferrovial","2,32M","50,43B","9,35B","11,99","0,76"
"Workday","3,36M","41,75B","9,23B","67,06","1,15"
"Mondelez","11,16M","77,31B","38,54B","31,47","0,401"
"Regeneron Pharma","955,59K","78,67B","14,34B","18,69","0,413"
"ASML  ADR","1,69M","530,09B","32,67B","47,10","1,34"
"Copart","8,93M","38,6B","4,66B","24,47","1,11"
"Old Dominion Freight Line","2,28M","42,27B","5,50B","43,09","1,27"
"Synopsys","2,15M","78,52B","7,05B","51,23","1,12"
"Verisk","1,39M","25,74B","3,03B","28,53","0,81"
"Diamondback","1,8M","47,19B","14,63B","11,53","0,58"
"Palo Alto Networks","6,34M","107,87B","9,56B","99,15","0,77"
"Alphabet C","23,64M","4,01T","402,84B","30,81","1,09"
"Shopify Inc","8,33M","144,82B","10,70B","82,50","2,82"
"PayPal","18,48M","36,73B","33,17B","7,58","1,42"
"Atlassian Corp Plc","3,36M","25,89B","5,46B","-141,48","0,89"
"Zscaler","1,91M","27,01B","2,83B","-659,57","1,02"
"PDD Holdings DRC","8,67M","144,12B","418,54B","13,31","0,05"
"CrowdStrike Holdings","2,55M","95,08B","4,57B","-304,30","1,03"
"Datadog","5,11M","37,43B","3,21B","345,26","1,23"
"Palantir","45,45M","309,87B","4,48B","189,43","1,69"
"Airbnb","4,73M","73,53B","11,94B","28,98","1,11"
"DoorDash","5,28M","79,24B","12,64B","98,49","1,70"
"Applovin","4,88M","126,81B","6,31B","45,56","2,51"
"Constellation Energy","3,09M","89,52B","24,84B","32,91","1,15"
"GE HealthCare","3,59M","37,51B","20,63B","17,31","1,23"
"Arm","5,45M","117,75B","4,67B","139,88","4,37"
"Linde PLC","2,76M","214,45B","33,50B","30,74","0,86"
"ThomsonReuters","1,37M","39,3B","7,48B","28,42","0,296"
