name,market_cap,revenue,pe,earnings,margin
NVIDIA,4179999999999.9995,187140000000.0,42.83,97595143590.94092,0.521508729245169
Apple,4050000000000.0,435620000000.0,35.03,115615186982.58635,0.26540376241354013
Alphabet A,4010000000000.0,402840000000.0,30.81,130152547874.06686,0.32308744879869644
Alphabet C,4010000000000.0,402840000000.0,30.81,130152547874.06686,0.32308744879869644
Microsoft,2920000000000.0,305450000000.0,24.56,118892508143.32248,0.3892372176897118
Amazon.com,2380000000000.0,691330000000.0,31.47,75627581823.95934,0.10939432951551262
Meta Platforms,1700000000000.0,200970000000.0,28.81,59007289135.71677,0.2936124254153195
Tesla,1490000000000.0,94830000000.0,335.37,4442854161.075827,0.04685072404382397
Broadcom,1470000000000.0,63890000000.0,65.21,22542554822.87993,0.35283385229112424
Walmart,1010000000000.0,703060000000.0,44.56,22666068222.621185,0.032239166248429985
ASML  ADR,530090000000.00006,32670000000.0,47.1,11254564755.838642,0.3444923402460558
Costco,439120000000.0,280390000000.0,53.21,8252584100.7329445,0.029432519350664946
Micron,430950000000.0,42310000000.0,36.0,11970833333.333334,0.2829315370676751
Netflix,341450000000.0,45180000000.0,32.06,10650343106.674984,0.23573136579625906
Cisco,325410000000.0,57700000000.0,32.04,10156367041.198502,0.17602022601730505
AMD,313850000000.0,34640000000.0,76.7,4091916558.018253,0.11812692142085025
Palantir,309870000000.0,4480000000.0,189.43,1635802143.271921,0.3651344069803395
Lam Research,266380000000.0,20560000000.0,43.76,6087294332.723949,0.29607462707801313
Applied Materials,241280000000.0,28370000000.0,34.93,6907529344.403092,0.2434800614875958
Intel,240970000000.0,52850000000.0,-808.83,,
PepsiCo,228950000000.0,93930000000.0,27.7,8265342960.288809,0.08799470840294697
T-Mobile US,225780000000.0,85850000000.0,19.45,11608226221.079693,0.13521521515526724
Linde PLC,214450000000.0,33500000000.0,30.74,6976252439.817827,0.2082463414870993
Texas Instruments,203150000000.0,17680000000.0,41.27,4922461836.685244,0.2784197871428305
Amgen,198050000000.0,36750000000.0,23.79,8324926439.680538,0.22652861060355206
Gilead,185320000000.0,29090000000.0,23.28,7960481099.656357,0.27365008936597995
KLA Corp,174470000000.0,12740000000.0,38.82,4494332818.134982,0.3527733766197003
Intuitive Surgical,169160000000.0,10060000000.0,60.8,2782236842.105263,0.2765642984200063
Analog Devices,157400000000.0,11020000000.0,71.16,2211916807.1950536,0.20071840355671994
Honeywell,148470000000.0,37440000000.0,31.1,4773954983.92283,0.12750948140819524
Qualcomm,145430000000.0,44870000000.0,30.39,4785455742.020401,0.10665156545621576
Shopify Inc,144820000000.0,10700000000.0,82.5,1755393939.3939395,0.16405550835457378
PDD Holdings DRC,144120000000.0,418540000000.0,13.31,10827948910.593538,0.025870762437505468
Booking,143230000000.0,26040000000.0,29.2,4905136986.30137,0.18836931591019085
Applovin,126810000000.0,6310000000.0,45.56,2783362598.7708516,0.4411034229430827
Intuit,121020000000.0,19430000000.0,29.94,4042084168.3366733,0.20803315328546954
Arm,117750000000.0,4670000000.0,139.88,841792965.3989134,0.1802554529762127
Vertex,116410000000.0,11720000000.0,32.28,3606257744.733581,0.30770117275883796
Comcast,110990000000.0,123710000000.0,5.66,19609540636.042404,0.15851217068985857
Adobe,110580000000.0,23770000000.0,16.2,6825925925.925926,0.28716558375792706
Starbucks,109450000000.0,37700000000.0,80.43,1360810642.794977,0.036095773018434404
Palo Alto Networks,107870000000.0,9560000000.0,99.15,1087947554.2107916,0.11380204541953887
MercadoLibre,103160000000.0,26190000000.0,49.7,2075653923.5412474,0.07925368169306023
CrowdStrike Holdings,95080000000.0,4570000000.0,-304.3,,
ADP,94210000000.0,21210000000.0,22.44,4198306595.3654184,0.1979399620634332
Constellation Energy,89520000000.0,24840000000.0,32.91,2720145852.3245215,0.10950667682465867
Seagate,88420000000.0,10060000000.0,45.45,1945434543.4543452,0.19338315541295678
Western Digital,88210000000.0,10730000000.0,24.18,3648056244.8304386,0.3399866025005069
Marriott Int,87600000000.0,6870000000.0,34.49,2539866628.008118,0.369704021544122
Monster Beverage,79870000000.0,7980000000.0,46.6,1713948497.854077,0.2147805135155485
