"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Adani Enterprises","1,57M","2,87T","949,95B","19,01","0,35"
"Apollo Hospitals","368,52K","1,03T","232,65B","61,51","0,14"
"Asian Paints","1,47M","2,31T","346,50B","59,83","0,19"
"Axis Bank","5,84M","4,17T","1,31T","15,89","0,31"
"Bajaj Auto","355,32K","2,67T","590,24B","29,87","0,71"
"Bajaj Finance","7,45M","6,1T","412,60B","33,71","0,119"
"Bajaj Finserv Limited","1,2M","3,23T","1,47T","33,31","0,211"
"Bharti Airtel","7,58M","12,4T","2,04T","38,87","0,105"
"Bharat Electronics","17,35M","3,14T","265,35B","52,59","0,22"
"Cipla","1,54M","1,07T","279,67B","23,58","0,04"
"Coal India","7,07M","2,86T","1,31T","8,49","0,02"
"Dr Reddy’s Laboratories","1,61M","1,03T","345,83B","18,18","0,32"
"Eicher Motors","474,55K","1,97T","212,91B","38,55","0,07"
"Grasim Industries","580,89K","1,92T","1,60T","44,56","0,20"
"HCL Tech","2,54M","4,36T","14,48B","27,12","0,20"
"HDFC Bank","22,92M","14,48T","3,48T","19,48","0,46"
"Hero Moto","667,73K","1,15T","444,81B","21,11","0,709"
"Hindu Unilever","1,5M","6,26T","642,43B","51,98","0,33"
"Hindalco Ind","5,92M","2,09T","2,54T","11,74","0,86"
"ICICI Bank","11,61M","10,07T","1,94T","19,18","0,20"
"IndusInd Bank","4,17M","704,87B","458,79B","-34,53","0,24"
"Infosys","8,52M","6,1T","19,85B","21,40","0,26"
"ITC","23,39M","4,09T","798,09B","19,97","-0,11"
"JSW Steel","1,71M","3,02T","1,79T","40,52","0,57"
"Kotak Mahindra","15,66M","4,2T","765,44B","22,26","0,143"
"Larsen&Toubro","1,67M","5,59T","2,83T","32,68","0,31"
"Mahindra & Mahindra","2,14M","4T","1,78T","28,26","0,41"
"Maruti Suzuki","371,1K","4,71T","1,72T","31,55","0,21"
"Adani Ports & SEZ","2,19M","3,57T","364,87B","26,76","0,192"
"NTPC","9,41M","3,54T","1,88T","14,60","0,22"
"Oil&Gas Corp","11,81M","3,38T","6,56T","9,18","0,24"
"Power Grid","13,55M","2,72T","473,43B","17,54","0,20"
"Reliance Ind","11,06M","19,65T","10,25T","23,52","0,31"
"State Bank","9,07M","9,85T","5,05T","11,79","0,32"
"Shriram Finance","7,8M","1,89T","199,08B","20,51","0,57"
"Sun Pharma AR","2,34M","4,06T","568,09B","37,28","0,09"
"Tata Consult","2,94M","10,65T","2,61T","22,25","0,30"
"Tata Consumer Products","1,33M","1,15T","194,65B","77,83","0,33"
"Tata Motors Passenger Vehicles","12,35M","1,36T","4,02T","1,45","0,728"
"Tata Steel Ltd","27,09M","2,46T","2,22T","36,14","0,80"
"Tech Mahindra","1,97M","1,43T","551,23B","31,01","0,21"
"Titan Company","840,28K","3,68T","679,04B","89,24","0,19"
"Trent","1,06M","1,46T","192,06B","89,16","0,098"
"UltraTech","240,24K","3,74T","857,75B","48,75","0,35"
"Wipro","10,14M","2,41T","908,92B","18,27","0,43"
"Nestle India Ltd","1,01M","2,51T","218,58B","77,00","0,24"
"SBI Life Insurance","930,06K","2T","1,31T","80,63","0,34"
"HDFC Life","2,56M","1,52T","1,04T","80,07","0,55"
"Eternal","38,21M","2,6T","429,05B","1.158,59","0,29"
"Jio Financial Services","10,66M","1,72T","25,06B","112,37","0,93"
