"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Nissui","1,62M","427,92B","898,39B","14,89","-0,02"
"Denka","758,4K","268,34B","397,90B","-22,76","0,14"
"DOWA Holdings","596,99K","535,59B","643,27B","26,46",""
"Mitsubishi Heavy Industries","24,11M","16,14T","5,31T","51,37","0,173"
"Nomura","10,01M","4,02T","2,04T","11,61","0,472"
"Shin-Etsu Chemical","7,06M","9,57T","2,57T","20,03","1,09"
"Kawasaki Heavy Industries","3,92M","2,43T","2,24T","25,22","0,74"
"Inpex Corp.","5,19M","4,24T","2,04T","10,05","0,08"
"Kyowa Kirin","1,1M","1,26T","482,21B","34,28","-0,01"
"Furukawa Electric","5,27M","1,02T","1,24T","29,01","0,50"
"IHI Corp.","17,88M","4,19T","1,58T","32,36","0,68"
"Sompo Holdings Inc","2,43M","5,19T","5,47T","15,91","0,11"
"Comsys Holdings Corp.","446,97K","599,09B","620,82B","18,60","0,09"
"Mitsui Chemicals, Inc.","2,11M","881,63B","1,73T","49,24","0,59"
"Sumitomo Electric Industries","7,51M","5,88T","4,93T","23,74","0,441"
"Nissan Motor","27,03M","1,45T","12,23T","-1,59","0,14"
"MS&AD Insurance Group Holdings","4,63M","6,18T","7,20T","8,53","0,187"
"Taisei Corp.","1,03M","2,88T","2,11T","21,64","0,26"
"Mitsubishi Chemical Holdings Corp","5,36M","1,43T","3,96T","76,05","0,41"
"Fujikura","10,02M","6,14T","1,09T","47,48","0,42"
"Isuzu Motors","2,53M","1,88T","3,34T","13,87","0,22"
"Obayashi Corp.","2,9M","2,71T","2,54T","16,59","0,28"
"Ube Industries","711,21K","269,27B","459,33B","7,69","0,309"
"Dai-ichi Life","9,95M","5,18T","9,22T","12,94","0,16"
"Shimizu Corp.","2,8M","2,26T","2,05T","20,26","0,128"
"Okuma Corp.","527,39K","260,51B","224,36B","23,13","0,305"
"Hino Motors","3,82M","264,63B","1,56T","3,38","0,39"
"Tokio Marine Holdings, Inc.","5,18M","11,33T","8,06T","11,01","-0,10"
"Kajima Corp.","1,91M","3,23T","2,96T","19,34","0,18"
"Dentsu Inc.","1,4M","737,88B","1,40T","-3,50","0,279"
"Amada","1,36M","705,14B","396,42B","25,88","0,40"
"Mitsubishi Motors Corp.","9,27M","583,39B","2,78T","163,11","-0,18"
"T&D Holdings, Inc.","1,84M","1,96T","2,55T","16,19","-0,07"
"Daiwa House Industry","1,78M","3,42T","5,41T","11,21","0,21"
"Kao Corp.","1,58M","2,95T","1,69T","25,09","0,109"
"Komatsu","3,66M","6,37T","4,06T","16,87","0,773"
"Mazda Motor","5,59M","790,37B","4,86T","23,60","0,34"
"Mitsui Fudosan","9,11M","5,14T","2,82T","16,69","0,18"
"Sekisui House","2,77M","2,34T","4,13T","11,69","0,30"
"Takeda Pharmaceutical","4,92M","8,71T","4,46T","78,18","0,08"
"Sumitomo Heavy Industries","640,05K","637,21B","1,05T","191,70","0,47"
"Honda Motor","14,34M","6,56T","21,52T","11,13","0,10"
"Mitsubishi Estate","4,02M","5,11T","1,68T","26,52","0,10"
"JGC Corp.","1,81M","538,84B","832,63B","-357,10","-0,27"
"Astellas Pharma Inc.","8,01M","4,36T","2,06T","12,54","0,044"
"Hitachi Construction Machinery Co","988,78K","1,3T","1,36T","17,24","0,65"
"Suzuki Motor Corp.","6,55M","4,44T","5,83T","11,34","0,26"
"Nisshin Seifun Group Inc.","782,25K","600,02B","858,00B","21,90","-0,184"
"Sumitomo Dainippon Pharma","9,82M","883,97B","453,40B","8,25","0,449"
"Kubota Corp.","4,17M","2,97T","2,94T","17,34","0,56"
"Subaru Corp","3,12M","2,35T","4,81T","9,26","-0,02"
"Tokyo Tatemono","802,43K","792,61B","402,66B","13,30","-0,11"
"Meiji Holdings","2,01M","1,03T","1,16T","22,64","0,03"
"Shionogi","2,89M","2,89T","465,38B","14,73","-0,024"
"Ebara Corp.","4,16M","2,25T","925,89B","30,39","0,91"
"Nikon Corp.","1,43M","600,57B","686,52B","-7,32","0,178"
"NH Foods","482,12K","649,58B","1,42T","21,63","0,08"
"Chugai Pharmaceutical","2,37M","14,31T","1,26T","33,00","0,397"
"Olympus Corp.","3,25M","2,08T","977,65B","21,74","0,34"
"Sumitomo Realty & Development Co.","2,77M","4,26T","1,01T","21,45","0,42"
"Sapporo Holdings","1,67M","664,88B","527,79B","93,85","-0,15"
"Eisai","1,34M","1,26T","804,39B","25,58","-0,27"
"Daikin Industries","1,03M","5,27T","4,83T","20,77","0,49"
"Dainippon Screen Mfg.","1,56M","1,9T","590,66B","23,49","1,47"
"Tobu Railway","536,87K","578,53B","648,90B","10,22","-0,067"
"Asahi Group Holdings","7,85M","2,52T","2,92T","14,88","0,20"
"Terumo Corp.","5,07M","3,01T","1,06T","23,03","0,33"
"NSK","2,64M","593,3B","858,21B","29,32","0,141"
"Canon","3,43M","4,27T","4,62T","13,22","0,244"
"Tokyu Corp.","1,65M","1,04T","1,05T","12,18","0,12"
"Kirin Holdings","2,75M","1,99T","2,39T","24,38","-0,04"
"Daiichi Sankyo","8,13M","5,27T","2,05T","17,42","-0,33"
"NTN Corp.","3,5M","238,93B","813,41B","-17,27","0,439"
"Ricoh","2,15M","856,69B","2,57T","12,60","0,186"
"Odakyu Electric Railway","823,66K","586,36B","411,40B","13,98","0,19"
"Takara Holdings Inc.","511,13K","307,92B","372,71B","24,23","0,36"
"LY Corp","17,97M","2,87T","1,98T","12,70","0,584"
"JTEKT Corp.","1,13M","606,42B","1,90T","23,76","0,298"
"Citizen Watch","1,27M","340,62B","319,62B","14,50","-0,20"
"Keio Corp.","373,83K","463,24B","469,42B","12,01","-0,10"
"Sojitz Corp.","1,85M","1,23T","2,61T","10,53","0,617"
"Trend Micro Inc.","910,52K","728,9B","272,73B","21,20","0,58"
"Minebea Mitsumi","1,55M","1,32T","1,52T","21,24","0,641"
"Toppan Printing","1,62M","1,35T","1,76T","15,99","0,30"
"Keisei Electric Railway","1,66M","599,66B","328,70B","11,16","0,034"
"Kikkoman Corp.","3,52M","1,31T","712,02B","22,83","0,04"
"Fujifilm Holdings Corp.","4,29M","3,65T","3,25T","13,49","0,36"
"Hitachi","12,03M","24,27T","10,27T","29,84","0,38"
"Dai Nippon Printing","1,25M","1,26T","1,49T","16,11","0,29"
"East Japan Railway Co.","2,62M","4,47T","3,00T","18,73","0,009"
"Ajinomoto Co., Inc.","4,67M","3,92T","1,53T","49,33","0,083"
"Konica Minolta, Inc.","3,14M","305,1B","1,08T","-8,77","0,37"
"Yamaha Corp.","1,58M","530,05B","452,40B","27,91","0,113"
"West Japan Railway Co.","1,66M","1,59T","1,80T","13,08","0,044"
"Nichirei Corp.","1,82M","501,24B","704,91B","61,04","0,23"
"Shiseido","3,75M","1,09T","961,65B","-19,72","0,44"
"Mitsubishi Electric","5,81M","11,2T","5,68T","29,50","0,45"
"Itochu Corp.","13,47M","14,4T","14,68T","15,36","0,44"
"Central Japan Railway Co.","2,46M","4,45T","1,98T","8,34","0,073"
"Japan Tobacco","4,05M","10,69T","3,46T","19,94","0,16"
"Fuji Electric","820,48K","1,59T","1,18T","18,54","0,52"
"Marubeni Corp.","4,34M","9,27T","8,24T","17,51","0,636"
"Nippon Express","781,79K","888,72B","2,59T","35,89","0,42"
"J.Front Retailing","1,36M","667,4B","454,02B","23,23","-0,09"
"Eneos Holdings","7,42M","3,74T","11,67T","-545,69","0,14"
"Yaskawa Electric Corp.","4,97M","1,35T","539,22B","36,27","0,83"
"Toyota Tsusho Corp.","2,22M","6,67T","11,04T","17,28","0,664"
"Yamato Holdings","995,3K","605,96B","1,86T","17,57","0,253"
"Isetan Mitsukoshi Holdings","2,52M","1,04T","545,29B","18,83","-0,05"
"Yokohama Rubber","576,57K","1,03T","1,19T","12,95","0,25"
"Mitsui","5,52M","14,77T","14,04T","17,34","0,48"
"Nippon Yusen K.K","2,91M","2,06T","2,42T","9,68","0,977"
"Bridgestone Corp.","3,74M","4,43T","4,40T","21,36",""
"GS Yuasa Corp.","730,79K","415,83B","586,51B","61,46","0,417"
"Tokyo Electron","3,04M","18,75T","2,49T","34,74","1,24"
"Mitsui O.S.K. Lines","3,23M","1,74T","1,80T","7,48","0,952"
"AGC","1,07M","1,3T","2,05T","24,93","0,16"
"NEC Corp.","5,7M","5,8T","3,52T","23,54","0,21"
"Sumitomo Corp.","3,46M","7,29T","7,36T","13,81","0,469"
"Kawasaki Kisen Kaisha","4,51M","1,47T","1,01T","11,97","1,06"
"Fujitsu","6,12M","6,82T","3,59T","21,88","0,77"
"Mitsubishi Corp.","8,74M","17,41T","18,36T","24,59","0,488"
"ANA Holdings","2,04M","1,53T","2,44T","10,72","0,314"
"Nippon Electric Glass","637,3K","530,21B","303,80B","-276,26",""
"Takashimaya","1,8M","654,3B","402,61B","18,46","-0,12"
"Mitsubishi Logistics Corp.","1,11M","450,78B","274,91B","8,93","0,198"
"Seven & i Holdings","6,43M","5,4T","9,37T","19,02","0,15"
"Sumitomo Osaka Cement","148K","132,17B","216,62B","10,39","0,20"
"Panasonic","10,3M","5,7T","7,94T","25,22","0,745"
"Marui Group","677,42K","556,41B","266,86B","19,26","0,12"
"Teijin","861,22K","307,2B","909,24B","-3,74","0,228"
"Taiheiyo Cement Corp.","462,95K","490,52B","890,76B","9,55","0,36"
"Credit Saison","569,48K","632,77B","529,92B","10,14","0,30"
"NTT Inc","187,45M","12,47T","14,08T","11,87","-0,145"
"Toray Industries, Inc.","5,26M","1,84T","2,50T","32,68","0,20"
"Tokai Carbon","1,49M","235,39B","328,79B","-5,13","0,45"
"Sony","16,61M","20,91T","13,15T","17,59","0,84"
"Aeon","10,93M","6,23T","10,41T","180,10","0,258"
"KDDI Corp.","7,67M","10,62T","6,03T","15,44","-0,02"
"Kuraray","1,72M","541,62B","805,49B","71,89","-0,11"
"TOTO","865,69K","914,63B","729,25B","209,25","0,763"
"TDK","9,89M","4,1T","2,39T","21,81","0,132"
"Asahi Kasei Corp.","4,9M","2,3T","3,04T","13,76","0,431"
"NGK Insulators","1,26M","1,15T","651,97B","21,20","0,26"
"Tokyo Electric Power Co., Inc.","93,73M","1,02T","0,00","-1,36","-0,16"
"SUMCO Corp.","7,25M","567,41B","404,39B","216,25","0,70"
"Nippon Steel","23,1M","3,53T","8,95T","-516,66","0,791"
"Alps Alpine","1,25M","410,91B","1,01T","8,13","0,386"
"Aozora Bank","1,27M","386,08B","122,20B","13,62","0,03"
"Chubu Electric Power Co., Inc.","3,29M","1,82T","3,58T","7,26","0,094"
"Oji Holdings Corp.","4,09M","817,9B","1,84T","26,40","-0,04"
"Kobe Steel","2,56M","913,28B","2,49T","7,21","0,52"
"Mitsubishi UFJ Financial","44,28M","33,21T","5,85T","25,52","0,159"
"Kansai Electric Power","3,52M","2,87T","4,13T","6,87","0,095"
"Nippon Paper Industries","438,96K","130,67B","1,19T","7,55","0,21"
"JFE Holdings, Inc.","4,41M","1,42T","4,64T","17,01","0,961"
"Yokogawa Electric Corp.","806,82K","1,26T","587,83B","22,21","0,42"
"Resona Holdings, Inc.","9,17M","4,5T","1,07T","16,54","0,141"
"Tokyo Gas","1,25M","2,44T","2,83T","12,56","-0,194"
"Advantest Corp.","9,68M","17,82T","1,03T","64,74","0,878"
"Osaka Gas","979,73K","2,47T","2,06T","13,35","-0,23"
"Pacific Metals","647,9K","51,37B","9,80B","-63,33","0,75"
"Denso Corp.","5,86M","5,78T","7,37T","14,94","0,59"
"Sumitomo Mitsui Financial","14,2M","22,4T","3,71T","29,47","0,164"
"Toho","581,85K","1,31T","360,37B","23,55","0,11"
"Resonac Holdings","2,27M","1,58T","1,35T","-466,79","0,49"
"Japan Steel Works","1,04M","653,37B","275,94B","29,62","0,54"
"Casio Computer","931,34K","357,61B","273,99B","18,65","0,10"
"Chiba Bank","2,52M","1,62T","316,12B","18,15","-0,118"
"Sumitomo Chemical","11,21M","878,46B","2,41T","9,20","0,304"
"Fanuc Corp.","6,64M","6,12T","835,43B","37,82","0,53"
"Nissan Chemical Industries","561,52K","761,07B","263,27B","17,08","0,19"
"Mitsui Mining and Smelting Co.","2,24M","1,19T","728,53B","25,60","0,76"
"Kyocera Corp.","4,35M","3,46T","2,04T","34,30","0,141"
"Fukuoka Financial Group, Inc.","884,25K","1,29T","353,43B","14,00","-0,126"
"Secom","1,01M","2,4T","1,23T","22,97","0,04"
"Taiyo Yuden","2,16M","443,68B","351,21B","116,25","0,77"
"Shizuoka Financial Group","2,01M","1,47T","243,84B","17,37","0,03"
"Konami Corp.","504,44K","2,44T","463,79B","33,33","0,432"
"Tosoh Corp.","1,08M","804,33B","1,03T","18,03","0,30"
"Mitsubishi Materials Corp.","1,61M","590,29B","1,80T","39,61","0,44"
"Mizuho Financial","9,39M","18T","4,02T","17,25","0,196"
"Fast Retailing","1,03M","19,43T","3,53T","43,42","0,23"
"Tokuyama Corp.","478K","288B","341,21B","11,21","0,267"
"Sumitomo Metal Mining","4,55M","2,36T","1,58T","99,81","0,83"
"Kanadevia","741,94K","182,21B","608,28B","9,29","0,488"
"Daiwa Securities Group Inc.","4,52M","2,18T","727,66B","14,12","0,454"
"SoftBank Group Corp.","74,36M","22,74T","7,51T","7,52","0,70"
"Tokyu Fudosan","2,07M","1,07T","1,24T","10,24","0,19"
"Nitto Denko Co","2,81M","2,29T","1,02T","17,31","0,46"
"Renesas Electronics Corp","10,95M","5,29T","1,26T","-73,58","0,657"
