name,market_cap,revenue,pe,earnings,margin
Toyota Motor,49250000000000.0,49390000000000.0,10.68,4611423220973.783,0.0933675485113137
Mitsubishi UFJ Financial,33210000000000.0,5850000000000.0,25.52,1301332288401.254,0.22244996382927418
Hitachi,24270000000000.0,10270000000000.0,29.84,813337801608.5791,0.07919550161719369
SoftBank Group Corp.,22740000000000.0,7510000000000.0,7.52,3023936170212.766,0.4026546165396493
Sumitomo Mitsui Financial,22400000000000.0,3710000000000.0,29.47,760095011876.4846,0.20487736169177484
Sony,20910000000000.0,13150000000000.0,17.59,1188743604320.6367,0.09039875318027656
Fast Retailing,19430000000000.0,3530000000000.0,43.42,447489636112.39056,0.12676760229812764
Tokyo Electron,18750000000000.0,2490000000000.0,34.74,539723661485.31946,0.2167564905563532
Mizuho Financial,18000000000000.0,4019999999999.9995,17.25,1043478260869.5652,0.25957170668397145
Advantest Corp.,17820000000000.0,1030000000000.0,64.74,275254865616.3114,0.2672377336080693
Mitsubishi Corp.,17410000000000.0,18360000000000.0,24.59,708011386742.5782,0.03856271169621886
Mitsubishi Heavy Industries,16140000000000.0,5310000000000.0,51.37,314191162156.90094,0.05916971038736364
Mitsui,14770000000000.0,14040000000000.0,17.34,851787773933.1027,0.0606686448670301
Itochu Corp.,14400000000000.0,14680000000000.0,15.36,937500000000.0,0.0638623978201635
Chugai Pharmaceutical,14310000000000.0,1260000000000.0,33.0,433636363636.36365,0.34415584415584416
Keyence,12930000000000.0,1120000000000.0,30.94,417905623787.9767,0.3731300212392649
NTT Inc,12470000000000.0,14080000000000.0,11.87,1050547598989.0481,0.07461275561001762
"Tokio Marine Holdings, Inc.",11330000000000.0,8060000000000.001,11.01,1029064486830.1544,0.12767549464393974
Mitsubishi Electric,11200000000000.0,5680000000000.0,29.5,379661016949.1525,0.0668417283361184
Japan Tobacco,10690000000000.0,3460000000000.0,19.94,536108324974.92474,0.15494460259390888
KDDI Corp.,10620000000000.0,6030000000000.0,15.44,687823834196.8912,0.11406697084525559
SoftBank Corp,10210000000000.0,6790000000000.0,19.03,536521282186.02203,0.0790163891290165
Recruit Holdings,9790000000000.0,3550000000000.0,23.77,411863693731.5945,0.1160179418962238
Nintendo,9780000000000.0,2109999999999.9998,26.09,374856266768.87695,0.1776569984686621
Shin-Etsu Chemical,9570000000000.0,2570000000000.0,20.03,477783325012.48126,0.1859079085651678
Marubeni Corp.,9270000000000.0,8240000000000.0,17.51,529411764705.8823,0.06424900057110222
Hoya Cor,8980000000000.0,915210000000.0,37.47,239658393381.37177,0.2618616420071588
Takeda Pharmaceutical,8710000000000.001,4460000000000.0,78.18,111409567664.36429,0.0249797236915615
Sumitomo Corp.,7290000000000.0,7360000000000.0,13.81,527878349022.4475,0.07172260176935429
Fujitsu,6820000000000.0,3590000000000.0,21.88,311700182815.3565,0.08682456345831657
Toyota Tsusho Corp.,6670000000000.0,11040000000000.0,17.28,385995370370.37036,0.0349633487654321
Honda Motor,6560000000000.0,21520000000000.0,11.13,589398023360.2875,0.02738838398514347
Komatsu,6370000000000.0,4059999999999.9995,16.87,377593360995.8506,0.09300329088567749
Aeon,6230000000000.0,10410000000000.0,180.1,34591893392.55969,0.0033229484526954554
MS&AD Insurance Group Holdings,6180000000000.0,7200000000000.0,8.53,724501758499.414,0.10062524423602971
Fujikura,6140000000000.0,1090000000000.0001,47.48,129317607413.64786,0.11864000680151178
Fanuc Corp.,6120000000000.0,835430000000.0,37.82,161819143310.41776,0.19369563375796625
Sumitomo Electric Industries,5880000000000.0,4930000000000.0,23.74,247683235046.33533,0.050240007108790126
Murata Mfg Co,5870000000000.0,1780000000000.0,32.25,182015503875.969,0.10225590105391516
NEC Corp.,5800000000000.0,3520000000000.0,23.54,246389124893.7978,0.06999691048119255
Denso Corp.,5780000000000.0,7370000000000.0,14.94,386880856760.3748,0.0524940104152476
Panasonic,5700000000000.0,7940000000000.0,25.22,226011102299.76212,0.028464874345058202
Japan Post Holdings,5560000000000.0,11520000000000.0,15.86,350567465321.5637,0.030431203586941295
Orix T,5440000000000.0,3040000000000.0,12.73,427336999214.45404,0.1405713813205441
Seven & i Holdings,5400000000000.0,9370000000000.0,19.02,283911671924.2902,0.030300071710169713
Renesas Electronics Corp,5290000000000.0,1260000000000.0,-73.58,,
Daiichi Sankyo,5270000000000.0,2049999999999.9998,17.42,302525832376.5786,0.14757357676906274
Daikin Industries,5270000000000.0,4830000000000.0,20.77,253731343283.5821,0.05253236920985137
Sompo Holdings Inc,5190000000000.0,5470000000000.0,15.91,326209930861.0936,0.05963618480093119
Dai-ichi Life,5180000000000.0,9220000000000.0,12.94,400309119010.81915,0.04341747494694351
