"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Dangote Cement","754,09K","11,34T","4,17T","11,70","-0,12"
"Dangote Sugar","2,41M","824,77B","807,50B","-43,83","-0,48"
"ETI","1,92M","1,18T","2,02B","2,24","0,24"
"First HoldCo","24,13M","2,13T","1,50T","52,75","0,822"
"Fcmb","28,33M","483,64B","1,00T","2,84","0,11"
"Fidelitybk","26,56M","971,61B","1,22T","4,07","0,23"
"Guaranty Trust Holding","24,45M","3,18T","1,59T","5,24","0,75"
"Guinness Nigeria","1,04M","689,97B","547,98B","15,22","-0,40"
"STANBIC IBTC Bank","5,72M","1,9T","787,05B","5,03","0,32"
"International Breweries","2,64M","2,52T","620,15B","39,86","0,36"
"Nestle Nigeria","92,58K","1,78T","1,18T","20,18","0,06"
"Nigerian Breweries","3,94M","2,44T","1,42T","24,76","0,09"
"Okomu Oil Palm","224,19K","1,19T","198,15B","18,75","0,51"
"Presco","328,74K","1,96T","331,19B","12,53","0,31"
"Seplat Petroleum","126,3K","4,03T","2,58B","14,04","0,05"
"Sterling Bank","19,85M","399,24B","289,08B","4,59","0,286"
"Total Nig","30,11K","195,56B","767,63B","-11,38","0,26"
"Transcorp","2,8M","497,94B","523,69B","8,17","-0,41"
"UBA","12,68M","1,96T","2,55T","2,22","0,20"
"United Capital","6,06M","354,6B","57,66B","12,04","0,31"
"Lafarge Africa","3,88M","2,69T","997,75B","10,78","-0,04"
"Zenith Bank","30,47M","3,04T","3,52T","2,95","0,51"
"Transcorp Hotels","43,17K","1,8T","97,04B","82,00","0,56"
"MTN Nigeria","2,24M","12,79T","4,72T","11,28","0,38"
"Airtel Africa","1,82K","21,61T","6,01B","30,28","0,48"
"BUA Cement","567,26K","6,2T","1,15T","19,36","0,08"
"BUA Foods","113,72K","14,38T","1,80T","28,32","-0,01"
"Access Holdings","76,07M","1,19T","3,99T","1,73","0,32"
"Geregu Power","329,98K","2,85T","184,94B","",""
