name,market_cap,revenue,pe,earnings,margin
Airtel Africa,21610000000000.0,6010000000.0,30.28,713672391017.173,118.7474860261519
BUA Foods,14380000000000.0,1800000000000.0,28.32,507768361581.9209,0.28209353421217825
MTN Nigeria,12790000000000.0,4720000000000.0,11.28,1133865248226.9504,0.24022568818367593
Dangote Cement,11340000000000.0,4170000000000.0,11.7,969230769230.7693,0.2324294410625346
BUA Cement,6200000000000.0,1150000000000.0,19.36,320247933884.29755,0.2784764642472153
Seplat Petroleum,4030000000000.0005,2580000000.0,14.04,287037037037.0371,111.25466551823143
Guaranty Trust Holding,3180000000000.0,1590000000000.0,5.24,606870229007.6335,0.38167938931297707
Zenith Bank,3040000000000.0,3520000000000.0,2.95,1030508474576.2711,0.29275808936825887
Geregu Power,2850000000000.0,184940000000.0,,,
Lafarge Africa,2690000000000.0,997750000000.0,10.78,249536178107.6067,0.2500989006340333
International Breweries,2520000000000.0,620150000000.0,39.86,63221274460.612144,0.10194513337194573
Nigerian Breweries,2440000000000.0,1420000000000.0,24.76,98546042003.23102,0.06939862112903593
First HoldCo,2130000000000.0,1500000000000.0,52.75,40379146919.43128,0.026919431279620855
Presco,1960000000000.0,331190000000.0,12.53,156424581005.5866,0.47231070082305204
UBA,1960000000000.0,2550000000000.0,2.22,882882882882.8828,0.34622858152269914
STANBIC IBTC Bank,1900000000000.0,787050000000.0,5.03,377733598409.5427,0.4799359613868785
Transcorp Hotels,1800000000000.0,97040000000.0,82.0,21951219512.19512,0.22620795045543202
Nestle Nigeria,1780000000000.0,1180000000000.0,20.18,88206144697.72052,0.074750970082814
Okomu Oil Palm,1190000000000.0,198150000000.0,18.75,63466666666.666664,0.3202960719993271
Access Holdings,1190000000000.0,3990000000000.0,1.73,687861271676.3005,0.17239630869080214
ETI,1180000000000.0,2020000000.0,2.24,526785714285.71423,260.7850070721358
Fidelitybk,971610000000.0,1220000000000.0,4.07,238724815724.8157,0.1956760784629637
Dangote Sugar,824770000000.0,807500000000.0,-43.83,,
Guinness Nigeria,689970000000.0,547980000000.0,15.22,45333114323.258865,0.08272768043223998
Transcorp,497940000000.0,523690000000.00006,8.17,60947368421.052635,0.11638062292778673
Fcmb,483640000000.0,1000000000000.0,2.84,170295774647.88733,0.17029577464788734
Sterling Bank,399240000000.0,289080000000.0,4.59,86980392156.86275,0.3008869245774967
United Capital,354600000000.0,57660000000.0,12.04,29451827242.524918,0.5107843781221804
Total Nig,195560000000.0,767630000000.0,-11.38,,
