"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Atlas Copco A","5,01M","913,24B","168,34B","29,89","0,97"
"Boliden","1,35M","177,76B","93,51B","18,76","0,87"
"AstraZeneca","308,58K","2,67T","58,13B","31,36","0,192"
"LM Ericsson B","6,43M","334,83B","236,68B","11,76","0,56"
"Alfa Laval","639,73K","210,71B","69,67B","25,37","0,86"
"ABB","518,49K","1,41T","33,22B","34,36","0,89"
"Assa Abloy","1,56M","436,2B","152,41B","29,67","0,775"
"S.e.b","2,55M","387,31B","116,83B","10,47","0,35"
"Sandvik","2,29M","464,25B","120,68B","31,59","1,30"
"Investor B","3,52M","1,11T","219,91B","6,87","0,80"
"Hennes & Mauritz","2,17M","298,62B","228,29B","24,62","1,15"
"Svenska Cellulosa","1,65M","81,75B","23,45B","30,10","0,30"
"Swedbank","2,48M","402,14B","83,66B","12,31","0,53"
"Skanska B","773,74K","113,88B","182,61B","18,42","0,89"
"Svenska Handelsbanken","5,12M","283,94B","57,12B","20,18","0,36"
"Volvo B","3,28M","703,37B","479,18B","18,19","0,90"
"Tele2 AB","1,72M","121,31B","29,89B","26,56","0,33"
"Telia Company","6,87M","169,79B","80,98B","33,43","0,26"
"SKF B","1,42M","111,83B","91,58B","28,54","0,77"
"Nordea Bank","2,46M","609,93B","17,25B","12,03","0,59"
"Hexagon","3,7M","255,47B","5,42B","39,16","0,84"
"Saab AB","2,43M","344,55B","79,15B","54,44","0,025"
"Addtech","393,63K","83,28B","22,60B","42,06","1,28"
"Industrivarden AB","425,67K","209,6B","14,13B","14,67","0,84"
"Nibe Industrier B","7,35M","74,39B","40,87B","25,71","1,19"
"Evolution AB","628,77K","109,81B","2,12B","9,88","1,04"
"Lifco publ AB","374,63K","145,44B","28,25B","39,88","1,20"
"Essity B","1,43M","189,25B","138,49B","15,11","0,23"
"Epiroc A","1,61M","321,24B","62,00B","37,38","1,12"
"EQT AB","1,84M","333,33B","2,63B","55,92","1,72"
