name,market_cap,revenue,pe,earnings,margin
AstraZeneca,2670000000000.0,58130000000.0,31.36,85140306122.44897,1.4646534684749521
ABB,1410000000000.0,33220000000.0,34.36,41036088474.970894,1.235282615140605
Investor B,1110000000000.0,219910000000.0,6.87,161572052401.74673,0.7347189868662032
Atlas Copco A,913240000000.0,168340000000.0,29.89,30553362328.53797,0.18149793470677184
Volvo B,703370000000.0,479180000000.0,18.19,38667949422.75976,0.08069608377386318
Nordea Bank,609930000000.0,17250000000.0,12.03,50700748129.67581,2.9391738046188878
Sandvik,464250000000.0,120680000000.0,31.59,14696106362.77303,0.12177748063285573
Assa Abloy,436200000000.0,152410000000.0,29.67,14701718907.987865,0.09646164233310062
Swedbank,402140000000.0,83660000000.0,12.31,32667749796.91308,0.3904823069198312
S.e.b,387310000000.0,116830000000.0,10.47,36992359121.29895,0.3166340761901819
Saab AB,344550000000.0,79150000000.0,54.44,6328986039.676708,0.07996192090558064
LM Ericsson B,334830000000.0,236680000000.0,11.76,28471938775.510204,0.12029718935064308
EQT AB,333330000000.0,2630000000.0,55.92,5960836909.871244,2.266477912498572
Epiroc A,321240000000.0,62000000000.0,37.38,8593900481.54093,0.13861129808936984
Hennes & Mauritz,298620000000.0,228290000000.0,24.62,12129163281.884645,0.05313050629411996
Svenska Handelsbanken,283940000000.0,57120000000.0,20.18,14070366699.702677,0.24632994922448664
Hexagon,255470000000.0,5420000000.0,39.16,6523748723.186926,1.2036436758647464
Alfa Laval,210710000000.0,69670000000.0,25.37,8305478912.100906,0.11921169674323104
Industrivarden AB,209600000000.0,14130000000.0,14.67,14287661895.023859,1.0111579543541303
Essity B,189250000000.0,138490000000.0,15.11,12524818001.323627,0.0904384287769776
Boliden,177760000000.0,93510000000.0,18.76,9475479744.13646,0.10133119178843396
Telia Company,169790000000.0,80980000000.0,33.43,5078970984.145977,0.06271883161454651
Lifco publ AB,145440000000.0,28250000000.0,39.88,3646940822.467402,0.1290952503528284
Tele2 AB,121310000000.0,29890000000.0,26.56,4567394578.313253,0.1528067774611326
Skanska B,113880000000.0,182610000000.0,18.42,6182410423.452768,0.03385581525356097
SKF B,111830000000.0,91580000000.0,28.54,3918360196.2158375,0.04278620000235682
Evolution AB,109810000000.0,2120000000.0,9.88,11114372469.635626,5.242628523413031
Addtech,83280000000.0,22600000000.0,42.06,1980028530.6704707,0.08761188188807392
Svenska Cellulosa,81750000000.0,23450000000.0,30.1,2715946843.8538203,0.11581862873577059
Nibe Industrier B,74390000000.0,40870000000.0,25.71,2893426682.2248154,0.0707958571623395
