"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"China Shenhua Energy SH","26,99M","753,71B","296,05B","13,47","0,44"
"Bank of China A","316,35M","1,33T","1,01T","5,49","0,27"
"Sinopec Shanghai A","58,58M","33,31B","80,02B","-209,93","0,78"
"China Petrol A","201,38M","784,81B","2,82T","22,07","0,53"
"Vcanbio Cell Gene Engineering","11,81M","11,61B","1,47B","152,82","0,39"
"Pudong Development Bank","87,85M","337,06B","0,00","6,67","0,50"
"Guangzhou Baiyun Airport","18,82M","24,51B","7,82B","16,75","0,22"
"Dongfeng Automobile","24,84M","13,82B","9,97B","56,55","0,57"
"China World Trade Center","3,25M","21,01B","3,79B","17,88","1,07"
"Beijing Capital","74,67M","22,61B","19,63B","13,25","0,25"
"Shanghai International Airport","17,34M","77,16B","12,89B","32,30","0,50"
"Inner Mongolia BaoTou Steel","782,08M","107,74B","66,30B","108,14",""
"Huaneng Power International","62,63M","108,79B","234,13B","8,77","0,72"
"Anhui Expressway","5,68M","20,15B","6,98B","13,70","0,11"
"Hua Xia Bank","65,33M","104,88B","136,30B","4,07","0,33"
"China Minsheng Banking","339,72M","169,88B","230,68B","6,25","0,36"
"Rizhao Port","30,02M","9,63B","7,84B","18,31","0,32"
"Shanghai International Port","51,59M","117,56B","39,04B","8,18","0,18"
"Baoshan Iron & Steel","103,82M","154,18B","311,70B","16,14","0,63"
"Henan Zhongyuan Expressway","14,56M","9,17B","7,15B","10,08","0,36"
"Shanghai Electric Power","97,62M","57,78B","42,32B","25,50","0,55"
"Shandong Iron and Steel","126,66M","17,08B","72,59B","-25,96",""
"Zhejiang Zheneng Electric","60,57M","66,51B","80,52B","9,19","0,14"
"COSCO Shipping Energy Trans","52,42M","87,06B","22,80B","22,97","0,43"
"Huadian Power A","80,97M","56,67B","102,67B","8,50","0,10"
"China Southern Airlines A","66,59M","148,59B","177,23B","-109,72","0,37"
"CITIC Securities","144,4M","417,35B","74,83B","14,40","0,89"
"Sany Heavy Industry","65,44M","210,68B","86,13B","23,69","0,99"
"Fujian Expressway Dev","87,7M","10,48B","3,06B","13,02","0,21"
"Hubei Chutian Expressway","10,96M","6,39B","5,40B","9,49","0,25"
"China Merchants Bank","88,64M","997,7B","0,00","6,97","0,96"
"Beijing Gehua CATV Network","18,66M","11,12B","2,14B","-204,06","0,48"
"Avicopter PLC","10,05M","30,34B","27,51B","53,37","0,59"
"Sichuan Road & Bridge","26,46M","85,02B","108,64B","11,03","0,28"
"Citychamp Dartong","64,46M","5,79B","10,58B","-11,02","0,90"
"Shanghai Maling Aquarius","15,01M","6,1B","22,46B","","0,40"
"China United Network Comm","227,21M","198,98B","392,45B","9,18","0,70"
"Hisense Electric","11,43M","31,14B","60,71B","12,45","0,71"
"SDIC Essence Holdings","39,58M","48,4B","12,51B","15,27","0,76"
"Wanwei Hi-tech Industry","50,9M","15,1B","8,04B","28,36","0,72"
"CSSC Steel Structure Eng","22,96M","19,21B","9,76B","-15,88","0,73"
"Xiamen Xiangyu","26,15M","22,56B","385,84B","11,58","0,67"
"Zhejiang Guyuelongshan Shaoxing Wine","14,57M","8,92B","1,83B","44,21","0,74"
"Nanjing Gaoke","20,1M","15,31B","2,86B","6,61","0,53"
"Poly Real Estate Group","175,28M","82,94B","302,61B","-96,31","0,47"
"Ningbo United Group","5,99M","2,52B","1,67B","27,26","0,80"
"Zhejiang Guangsha","18,43M","3,79B","0,00","-9,23","0,52"
"Kunwu Jiuding Investment","10,5M","9,57B","279,41M","-29,73","1,25"
"Huangshan Tourism A","8,82M","9,97B","2,05B","35,03","0,56"
"China Meheco","18,86M","16,22B","33,23B","31,70","0,20"
"Minmetals Dev","31,72M","14,02B","56,74B","136,62","0,74"
"Kangxin New Materials","56,35M","5,32B","386,22M","-13,11","0,58"
"Chengxing Chemical","52,5M","7,93B","3,58B","-76,39","-0,08"
"Humanwell Healthcare","26,5M","31,42B","24,18B","21,98","0,47"
"Dongfeng Electronic Tech","3,26M","6,55B","6,63B","126,09","0,95"
"Tianjin Hi-Tech Dev","20,86M","2,76B","750,09M","46,21","0,84"
"Beijing Tongrentang","9,73M","43,32B","18,09B","32,18","0,15"
"China TV Media","6,7M","7,09B","1,12B","-91,87","0,23"
"Greattown A","50,16M","11,13B","2,30B","-4,99","0,79"
"Tbea Co Ltd","319,01M","138,61B","98,39B","26,92","0,63"
"Xiangcai","40,51M","31,18B","2,06B","77,63","1,15"
"Shanghai Kaichuang Marine","12,79M","2,95B","2,29B","29,36","0,44"
"Yunnan Yuntianhua","56,13M","65,41B","52,41B","11,71","0,54"
"Guangzhou Dev","21,72M","24,4B","50,28B","10,63","0,39"
"Linhai Co Ltd","3,51M","2,49B","1,09B","121,34","0,76"
"SAIC Motor Corp","67,42M","165,2B","666,10B","58,20","0,53"
"NBTM New Materials","16,35M","19,88B","5,95B","36,84","0,38"
"Chongqing Three Gorges","13,32M","12,63B","9,83B","47,31","0,43"
"Sichuan Mingxing Electric","16,95M","5,53B","3,02B","30,18","0,33"
"Jiangsu Etern","195,92M","38,32B","4,77B","114,85","0,15"
"Chongqing Road & Bridge","21,07M","8,29B","112,92M","34,66","0,55"
"Hubei Mailyard Share","8,19M","2,2B","244,25M","-38,38","1,02"
"Zhe Jiang Dong Ri","6,46M","24,96B","736,98M","161,19","0,88"
"Xining Special Steel","29,57M","9,21B","5,93B","-8,75","0,50"
"Fujian Qingshan Paper","223,64M","8,38B","2,36B","132,75","0,78"
"Sinolink Securities","32,45M","33,71B","8,39B","13,74","0,90"
"China Eastern Airlines","132,56M","138,71B","135,95B","-92,91","0,30"
"Tsinghuatongfang","81,28M","29,62B","15,87B","174,36","0,31"
"Gansu Yasheng Industrial","68,14M","6,85B","4,33B","72,48","0,40"
"Nuode Investment","104,92M","11,55B","6,36B","-50,87","0,98"
"China Northern Rare Earth Hi-Tech","108,57M","181,84B","41,70B","82,49","0,09"
"China Spacesat","100,45M","107,46B","6,58B","","0,66"
"Zhejiang Orient","87,61M","21,25B","6,67B","15,87","0,51"
"Zhengzhou Coal & Electric","62,06M","5,28B","3,68B","-47,18","1,27"
"Shanxi Lanhua Sci-Tech","21,98M","9,1B","9,16B","428,28","0,13"
"China Railway Tielong","17,58M","8,37B","11,47B","15,76","0,43"
"Hang Zhou Iron & Steel","66,71M","29,01B","60,93B","-348,59","0,78"
"JinJian Cereals","28,88M","4,29B","3,76B","206,79","0,62"
"Soho Holly","6,39M","2,96B","7,74B","62,63","0,65"
"Ningbo Bird","18,9M","3,23B","478,48M","644,78","0,54"
"Chongqing Taiji Industry","7,83M","10,12B","10,04B","-28,90","0,47"
"State Grid Information Communication","14,44M","21,95B","7,64B","34,32","0,51"
"Chongqing Brewery","2,9M","27,05B","14,64B","26,58","0,72"
"Wuhan East Lake Hi-Tech","39,84M","11,21B","3,77B","28,65","0,72"
"Lucky Film","32,35M","5,39B","1,35B","-59,67","0,59"
"Sichuan Langsha","2,86M","2,13B","382,31M","77,67","0,32"
"China CYTS Tours","20,52M","7,27B","11,34B","87,14","0,71"
"Hubei Xingfa Chemicals","26,85M","42,24B","30,13B","26,40","0,55"
"Kingfa Sci&Tech","91,34M","47,91B","69,67B","40,00","0,98"
"Changchun Yidong Clutch","1,94M","2,89B","731,89M","303,24","0,56"
"Polaris Bay","32,53M","14,92B","3,20B","91,61","0,90"
"Hunan Huasheng","12,7M","3,41B","939,00M","-80,15","0,54"
"China Sports Industry","29,59M","9,33B","2,21B","505,15","0,37"
"Beijing Dalong Weiye","21,52M","2,52B","698,71M","-12,56","1,18"
"Beijing Tiantan Bio","10,4M","32,73B","6,42B","25,17","0,27"
"Shenzhen Heungkong","60,31M","6,17B","1,68B","-106,15","0,64"
"Zhongmin Energy","50,86M","11,25B","1,73B","20,34","0,08"
"Ningxia Xinri Hengli","11,93M","2,6B","488,14M","-8,37","0,87"
"Beiqi Foton Motor","131,53M","25,02B","57,39B","33,76","0,56"
"Luenmei Quantum","24,29M","15,42B","0,00","22,31","0,25"
"Wuhan Sanzhen","12,3M","5,23B","3,96B","52,49","0,28"
"Taiyuan Heavy Industry","37,05M","8,26B","9,89B","39,49","0,51"
"Shanghai Construction","279,83M","26,12B","244,28B","13,01","0,31"
"Sh Belling","16,95M","22,05B","3,16B","61,22","-0,16"
"Henan Huanghe Whirlwind","131,33M","10,7B","1,37B","-9,64","0,79"
"Wolong Real Estate","21,97M","6,15B","3,02B","-390,27","0,89"
"China Jushi","51,84M","88,43B","18,13B","25,47","1,06"
"Youngor","20,23M","34,17B","12,57B","13,03","0,25"
"Harbin Dongan Auto","7,38M","5,82B","5,39B","","1,24"
"CCS Supply Chain","20,22M","4B","24,97B","249,66","0,46"
"Giti Tire Corp","2,39M","5,05B","4,83B","36,24","0,21"
"China CSSC","73,79M","255,57B","94,94B","22,57","0,56"
"Aerospace Auto","182,53M","22,53B","3,85B","-81,66","0,79"
"Veken Elite","37,03M","4,29B","1,46B","-52,79","0,70"
"Zhejiang Juhua","24,68M","106,56B","26,95B","26,81","0,59"
"Shengyi Tech","40,74M","154,01B","26,26B","54,72","0,75"
"North Electro-Optic","18,97M","10,25B","1,67B","-47,31","0,34"
"Zhuhai Zhumian","48,16M","14,29B","3,40B","-9,57","0,60"
"Lotus Health","64,98M","10,34B","3,20B","34,34",""
"Heilongjiang Interchina","37,08M","3,6B","186,09M","196,49","-0,22"
"Yankuang Energy","42,97M","154,35B","125,29B","17,69","0,40"
"Jilin Forest","17,88M","6,01B","1,32B","552,94","0,77"
"Baotou Huazi Industry","17,64M","6,07B","516,79M","154,50","0,42"
"Lanzhou Greatwall","23,64M","4,17B","1,53B","-15,90","0,59"
"China Husbandry","16,42M","8,09B","6,28B","37,86","0,35"
"Shanghai Fosun Pharm","17,55M","70,37B","39,55B","21,59","0,67"
"Xinjiang Yilite Industry","4,67M","6,57B","1,85B","36,28","0,84"
"Datang Telecom Tech","52,54M","12,57B","1,05B","186,73","0,30"
"Golden Seed Wine","14,51M","6,53B","747,26M","-25,60","0,61"
"Jinyu Bio-Tech","49,03M","17,17B","1,33B","163,89","0,81"
"Harbin Air Conditioning","8,4M","2,42B","1,29B","-135,11","0,72"
"Grinm Materials","25,74M","18,19B","9,16B","66,16","0,01"
"Henan Ancai Hi-tech","22,69M","5,32B","3,33B","-8,60","0,59"
"Quzhou XinAn Dev","73,17M","30,91B","3,41B","-72,92","0,68"
"Shanghai Zijiang","26,26M","11,51B","11,27B","9,29","0,29"
"Tibet Rhodiola Pharm","3,44M","13,88B","2,72B","14,23","0,40"
"Zhejiang Medicine","12,07M","14,88B","8,96B","12,08","0,57"
