name,market_cap,revenue,pe,earnings,margin
ICBC,2580000000000.0,1360000000000.0,7.34,351498637602.1799,0.2584548805898381
Agricultural Bank China A,2340000000000.0,1210000000000.0,8.53,274325908558.0305,0.22671562690746322
PetroChina A,1970000000000.0,2850000000000.0,12.53,157222665602.55386,0.05516584757984346
Kweichow Moutai,1900000000000.0,178580000000.0,21.14,89877010406.81172,0.5032871004973217
China Construction Bank Co,1850000000000.0,1180000000000.0,5.42,341328413284.1329,0.2892613671899431
Bank of China A,1330000000000.0,1010000000000.0,5.49,242258652094.71765,0.23986005157892837
China Life Insurance A,1220000000000.0,371660000000.0,4.75,256842105263.1579,0.691067387567018
Ping An Insurance,1210000000000.0,996470000000.0,8.75,138285714285.7143,0.13877559212591878
Foxconn Industrial Internet,1080000000000.0001,776690000000.0,35.56,30371203599.550056,0.03910337921120403
China Merchants Bank,997700000000.0,,6.97,143142037302.72598,
Zijin Mining A,987910000000.0,327440000000.0,22.54,43829192546.583855,0.13385411845401862
China Petrol A,784810000000.0,2820000000000.0,22.07,35560036248.30086,0.012609941932021581
China Shenhua Energy SH,753710000000.0,296050000000.0,13.47,55954714179.6585,0.18900427015591453
China Yangtze Power,648410000000.0,85880000000.0,18.98,34162802950.474182,0.39779696029895417
Postal Savings Bank of China,612680000000.0,488200000000.0,6.41,95581903276.13104,0.19578431641976862
Bank of Communications Co Ltd,543240000000.0,428830000000.0,5.49,98950819672.13115,0.23074602913073047
CMOC,471100000000.0,203760000000.0,24.53,19205055034.651447,0.09425331289090816
China Pacific Insurance,432430000000.0,335880000000.0,8.29,52162846803.37757,0.15530203287893762
CITIC Securities,417350000000.0,74830000000.0,14.4,28982638888.88889,0.3873130948668835
China Citic Bank A,414560000000.0,312000000000.0,6.3,65803174603.17461,0.21090761090761093
Industrial Bank,399770000000.0,,5.47,73084095063.98538,
Jiangsu Hengrui,380340000000.0,30980000000.0,49.7,7652716297.78672,0.24702118456380634
People's Insurance,373810000000.0,627920000000.0,5.53,67596745027.12477,0.10765184263461074
Guotai Junan Securities,350860000000.0,63520000000.0,10.74,32668528864.05959,0.5143030362729785
Pudong Development Bank,337060000000.0,,6.67,50533733133.43328,
WuXi AppTec,290270000000.0,43880000000.0,19.41,14954662545.079855,0.3408081710364598
Wanhua Chemical,272190000000.0,178690000000.0,24.59,11069133794.225294,0.06194601709231235
China CSSC,255570000000.0,94940000000.0,22.57,11323438192.290651,0.11926941428576629
New China Life Insurance,251440000000.0,76350000000.0,6.54,38446483180.42813,0.503555771845817
Beijing-Shanghai High Speed,244140000000.0,42610000000.0,19.48,12532854209.445585,0.2941294111580752
Advanced Micro Fabrication,222710000000.0,11620000000.0,98.07,2270928928.316509,0.19543278212706616
COSCO Shipping,222640000000.0,226720000000.0,5.96,37355704697.98658,0.16476581112379401
Aluminum Corp of China,221810000000.0,239800000000.0,15.62,14200384122.919334,0.05921761519149014
Foshan Haitian Food,216430000000.0,28130000000.0,30.75,7038373983.739838,0.25020881563241515
Shaanxi Coal Industry,214550000000.0,166790000000.0,12.23,17542927228.127556,0.1051797303682928
Shanxi Xinghuacun Fen Wine,213900000000.0,37580000000.0,17.41,12286042504.307869,0.3269303487043073
Sany Heavy Industry,210680000000.0,86130000000.0,23.69,8893203883.495146,0.1032532669626744
China State Construction,209910000000.0,2120000000000.0,4.76,44098739495.798325,0.02080129221499921
Shandong Gold Mining,207720000000.0,99300000000.0,44.92,4624220837.0436325,0.046568185670127216
NARI Tech,202440000000.0,63430000000.0,25.17,8042908224.076281,0.12679975128608356
Montage Technology,202090000000.0,5130000000.0,100.65,2007848981.6194732,0.3913935636685133
Seres,201700000000.0,149080000000.0,23.76,8489057239.057239,0.05694296511307512
China United Network Comm,198980000000.0,392450000000.0,9.18,21675381263.616558,0.05523093709674241
Huatai Securities,197760000000.0,43240000000.0,13.52,14627218934.911243,0.33827980885548664
China Everbright Bank,195570000000.0,216990000000.0,5.7,34310526315.789474,0.15812031114700897
GigaDevice Semiconductor,193000000000.0,8539999999.999999,136.66,1412264012.8786771,0.16537049331132053
Bank of Jiangsu,191400000000.0,138890000000.0,5.97,32060301507.53769,0.23083232419567778
Jiangxi Copper A,191260000000.0,524760000000.0,24.09,7939393939.393939,0.015129571498197155
China International Travel,190850000000.0,53320000000.0,56.48,3379072237.96034,0.0633734478237123
China Securities,188800000000.0,24940000000.0,19.34,9762150982.419855,0.3914254604017584
