"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Boeing","8,41M","186,09B","89,46B","95,49","1,14"
"General Motors","8,94M","75,3B","185,02B","26,21","1,36"
"Chevron","10,24M","354,88B","186,03B","26,85","0,672"
"Citigroup","13,55M","202,26B","75,72B","16,58","1,17"
"Bank of America","37,62M","396,25B","138,57B","14,44","1,29"
"AT&T","43,16M","192,18B","125,65B","8,95","0,61"
"Caterpillar","2,6M","317,44B","67,59B","36,06","1,57"
"Intel","101,18M","240,97B","52,85B","-808,83","1,35"
"Microsoft","29,08M","2,92T","305,45B","24,56","1,08"
"Ford Motor","58,06M","54,67B","189,59B","11,77","1,63"
"eBay","4,3M","39,11B","10,71B","19,08","1,35"
"Dell Tech","7,09M","76,47B","104,09B","15,43","1,11"
"Walt Disney","11,94M","185,96B","95,72B","15,47","1,42"
"Dow","12,66M","21,96B","39,97B","-8,75","0,753"
"Cisco","21,76M","325,41B","57,70B","32,04","0,87"
"Deere&Company","1,47M","153,35B","45,63B","30,65","1,01"
"FedEx","1,83M","85,58B","90,09B","20,15","1,33"
"General Mills","7,31M","25,81B","18,78B","10,41","-0,07"
"Corning","7,09M","95,76B","15,63B","61,33","1,12"
"Goldman Sachs","2,23M","279,34B","59,40B","17,42","1,32"
"JPMorgan","10,08M","836,25B","193,34B","15,48","1,07"
"Kimberly-Clark","6,24M","34,6B","16,45B","21,39","0,28"
"Kraft Heinz","15,05M","28,94B","25,16B","-6,69","0,08"
"Coca-Cola","17,43M","337,72B","47,66B","26,08","0,39"
"McDonald’s","3,22M","230,37B","26,26B","27,64","0,52"
"Eli Lilly","3,47M","914,04B","65,18B","48,24","0,394"
"Oracle","27,92M","392,26B","61,02B","25,78","1,66"
"Merck&Co","14,55M","297,22B","65,01B","16,25","0,296"
"Motorola","1,42M","69,48B","11,31B","33,49","0,99"
"3M","3,34M","86,95B","24,95B","27,28","1,17"
"Vertex","1,39M","116,41B","11,72B","32,28","0,32"
"Monster Beverage","5,82M","79,87B","7,98B","46,60","0,49"
"Fifth Third","9,87M","35,57B","9,90B","15,22","0,99"
"Cintas","2,02M","77,62B","10,79B","42,54","0,97"
"Autodesk","1,74M","50,37B","6,89B","46,17","1,48"
"Gilead","7,23M","185,32B","29,09B","23,28","0,33"
"Alphabet A","36,84M","4,01T","402,84B","30,81","1,09"
"Fiserv","9,75M","31,43B","21,16B","8,99","0,79"
"Adobe","4,49M","110,58B","23,77B","16,20","1,53"
"Qualcomm","9,32M","145,43B","44,87B","30,39","1,24"
"Warner Bros Discovery","42,02M","66,35B","37,86B","138,95","1,57"
"Applied Materials","7,71M","241,28B","28,37B","34,93","1,67"
"Steel Dynamics","1,29M","28,19B","18,18B","24,10","1,48"
"Cadence Design","1,87M","73,53B","5,21B","69,97","1,02"
"Microchip","9,23M","42,18B","4,21B","-173,13","1,45"
"Wynn Resorts","1,42M","11,65B","7,11B","24,52","1,08"
"Intuitive Surgical","1,9M","169,16B","10,06B","60,80","1,66"
"Nasdaq Inc","3,71M","48,83B","8,22B","27,64","1,02"
"Henry Schein","1,22M","9,06B","12,94B","24,32","0,91"
"Paychex","3,39M","35,24B","6,03B","22,20","0,90"
"VeriSign","791,8K","22,49B","1,63B","28,51","0,79"
"Apple","47,9M","4,05T","435,62B","35,03","1,09"
"Fastenal","8,06M","54,34B","8,20B","43,39","0,89"
"Northern Trust","1,01M","27,48B","8,09B","16,91","1,28"
"CH Robinson","1,74M","23,33B","16,23B","40,60","0,91"
"PACCAR","3,27M","66,95B","28,44B","28,37","1,02"
"Amazon.com","41,23M","2,38T","691,33B","31,47","1,38"
"Ross Stores","2,65M","61,21B","22,03B","29,55","0,993"
"NetApp","2,25M","19,72B","6,64B","17,24","1,37"
"Garmin","1,02M","38,22B","6,94B","24,60","0,99"
"Costco","2,72M","439,12B","280,39B","53,21","0,98"
"Lam Research","12,03M","266,38B","20,56B","43,76","1,78"
"Intuit","2,41M","121,02B","19,43B","29,94","1,27"
"Expedia","2,15M","28,34B","14,37B","22,29","1,44"
"Cognizant A","4,83M","36,81B","21,11B","16,34","0,957"
"Akamai","3,45M","13,16B","4,13B","26,86","0,68"
"KLA Corp","1,08M","174,47B","12,74B","38,82","1,44"
"Amgen","2,93M","198,05B","36,75B","23,79","0,472"
"Expeditors Washington","1,38M","21,95B","11,17B","26,59","1,16"
"Electronic Arts","2,2M","49,53B","7,31B","73,61","0,745"
"T Rowe","1,87M","20,12B","7,31B","10,50","1,54"
"Biogen","1,95M","27,19B","10,07B","16,92","0,14"
"The Charles Schwab","8,85M","181,25B","23,92B","21,90","0,91"
"Huntington Bancshares","31,67M","29,76B","7,70B","12,69","0,966"
"Gen Digital","5,33M","13,83B","4,47B","24,71","1,11"
"NVIDIA","182,44M","4,18T","187,14B","42,83","2,27"
"Starbucks","9,88M","109,45B","37,70B","80,43","0,94"
"Cincinnati Financial","580,56K","26,76B","12,08B","12,82","0,67"
