name,market_cap,revenue,pe,earnings,margin
NVIDIA,4179999999999.9995,187140000000.0,42.83,97595143590.94092,0.521508729245169
Apple,4050000000000.0,435620000000.0,35.03,115615186982.58635,0.26540376241354013
Alphabet C,4010000000000.0,402840000000.0,30.81,130152547874.06686,0.32308744879869644
Alphabet A,4010000000000.0,402840000000.0,30.81,130152547874.06686,0.32308744879869644
Microsoft,2920000000000.0,305450000000.0,24.56,118892508143.32248,0.3892372176897118
Amazon.com,2380000000000.0,691330000000.0,31.47,75627581823.95934,0.10939432951551262
Meta Platforms,1700000000000.0,200970000000.0,28.81,59007289135.71677,0.2936124254153195
Tesla,1490000000000.0,94830000000.0,335.37,4442854161.075827,0.04685072404382397
Broadcom,1470000000000.0,63890000000.0,65.21,22542554822.87993,0.35283385229112424
Berkshire Hathaway B,1090000000000.0001,372130000000.0,16.13,67575945443.273415,0.18159230764322526
Walmart,1010000000000.0,703060000000.0,44.56,22666068222.621185,0.032239166248429985
Eli Lilly,914040000000.0,65180000000.00001,48.24,18947761194.02985,0.29069900573841434
JPMorgan,836250000000.0,193340000000.0,15.48,54021317829.45736,0.2794109746015173
Visa A,627320000000.0,41390000000.0,30.9,20301618122.97735,0.4904957265759205
Exxon Mobil,610470000000.0,323900000000.0,21.84,27951923076.923077,0.08629800270738831
J&J,572910000000.0,94190000000.0,21.57,26560500695.410294,0.2819885411976886
Mastercard,493240000000.0,32790000000.0,33.41,14763244537.563604,0.4502361859580239
Costco,439120000000.0,280390000000.0,53.21,8252584100.7329445,0.029432519350664946
Micron,430950000000.0,42310000000.0,36.0,11970833333.333334,0.2829315370676751
Bank of America,396250000000.0,138570000000.0,14.44,27441135734.07202,0.19803085613099533
Oracle,392260000000.0,61020000000.0,25.78,15215671062.839409,0.24935547464502472
AbbVie,387090000000.0,61160000000.0,95.62,4048211671.198494,0.06619051130147963
Home Depot,380650000000.0,166190000000.0,26.22,14517543859.649124,0.08735509874029199
P&G,368610000000.0,85260000000.0,23.07,15977893368.010403,0.18740198648851047
Chevron,354880000000.0,186030000000.0,26.85,13217132216.014896,0.07104839120579959
Netflix,341450000000.0,45180000000.0,32.06,10650343106.674984,0.23573136579625906
Coca-Cola,337720000000.0,47660000000.0,26.08,12949386503.067486,0.2717034515960446
Cisco,325410000000.0,57700000000.0,32.04,10156367041.198502,0.17602022601730505
GE Aerospace,321330000000.0,45860000000.0,37.38,8596308186.195826,0.18744675504133942
Caterpillar,317440000000.0,67590000000.0,36.06,8803105934.553522,0.13024272724594646
AMD,313850000000.0,34640000000.0,76.7,4091916558.018253,0.11812692142085025
Palantir,309870000000.0,4480000000.0,189.43,1635802143.271921,0.3651344069803395
Merck&Co,297220000000.0,65010000000.00001,16.25,18290461538.46154,0.2813484316022387
Wells Fargo&Co,284550000000.0,87310000000.0,14.69,19370319945.541183,0.2218568313542685
Philip Morris,283310000000.0,39990000000.0,32.87,8619105567.386675,0.21553152206518317
Goldman Sachs,279340000000.0,59400000000.0,17.42,16035591274.397243,0.26995944906392666
Morgan Stanley,278350000000.0,70300000000.0,17.25,16136231884.057972,0.22953388170779476
IBM,270970000000.00003,67540000000.00001,25.99,10425933051.17353,0.1543667908080179
Lam Research,266380000000.0,20560000000.0,43.76,6087294332.723949,0.29607462707801313
Rtx Corp,262750000000.0,88600000000.0,39.6,6635101010.10101,0.0748882732517044
American Express,243270000000.0,66970000000.0,23.14,10512964563.526361,0.1569802085042013
UnitedHealth,243260000000.0,447570000000.0,20.2,12042574257.425743,0.026906571614330146
Applied Materials,241280000000.0,28370000000.0,34.93,6907529344.403092,0.2434800614875958
Intel,240970000000.0,52850000000.0,-808.83,,
McDonald’s,230370000000.0,26260000000.0,27.64,8334659913.16932,0.3173899433804006
PepsiCo,228950000000.0,93930000000.0,27.7,8265342960.288809,0.08799470840294697
T-Mobile US,225780000000.0,85850000000.0,19.45,11608226221.079693,0.13521521515526724
Linde PLC,214490000000.0,33500000000.0,30.74,6977553675.992193,0.2082851843579759
Thermo Fisher Scientific,203770000000.0,44560000000.0,31.86,6395794099.183929,0.14353218355439698
Texas Instruments,203150000000.0,17680000000.0,41.27,4922461836.685244,0.2784197871428305
