"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"ING Groep","6,63M","73,23B","0,00","11,93","0,93"
"Philips","1,35M","23,39B","17,78B","131,88","0,91"
"Stellantis NV","22,43M","17,64B","146,12B","-7,23","1,14"
"BASF","2,35M","42,55B","64,30B","139,85","1,14"
"Bayer","3,57M","44,78B","45,87B","-226,45","0,83"
"Allianz","499,16K","147,06B","105,02B","14,28","0,71"
"Adidas","611,65K","27,09B","24,70B","22,35","1,15"
"Siemens","1,11M","192,7B","78,91B","26,10","1,16"
"Deutsche Post","1,72M","53,05B","84,05B","16,12","1,15"
"Mercedes Benz Group","2,1M","55,72B","136,97B","9,00","0,73"
"Deutsche Borse","458,42K","38,97B","7,30B","19,41","0,50"
"Air Liquide","717,45K","96,84B","27,40B","28,28","0,70"
"Axa","3,5M","79,64B","93,21B","12,09","0,68"
"Danone","1,3M","44,51B","27,36B","27,04","0,25"
"BNP Paribas","2,62M","101,64B","47,82B","8,95","1,00"
"Louis Vuitton","394,69K","265,12B","80,81B","24,42","0,96"
"L'Oreal","302,52K","209,22B","43,84B","34,32","0,83"
"Schneider Electric","838,79K","141,72B","39,32B","33,28","0,95"
"EssilorLuxottica","480,38K","117,6B","27,24B","49,29","0,75"
"Pernod Ricard","636,29K","20,21B","10,96B","12,45","0,49"
"Airbus Group","1,01M","150,52B","72,15B","29,78","0,94"
"Sanofi","1,93M","97,12B","46,72B","19,84","0,39"
"TotalEnergies SE","3,68M","133,95B","183,53B","11,90","0,23"
"Vinci","716,98K","73,12B","73,72B","15,89","0,93"
"BBVA","8,25M","115,18B","59,86B","11,72","1,01"
"Inditex","1,85M","176,86B","39,38B","29,19","0,97"
"Iberdrola","6,53M","129,18B","45,49B","25,04","0,65"
"Santander","21,92M","156,09B","49,98B","11,15","0,941"
"Kone Corporation","480,92K","31,14B","11,26B","32,97","0,79"
"BMW","885,25K","53,78B","136,42B","","0,77"
"Deutsche Tel.","6,45M","144,67B","121,02B","12,33","0,28"
"Infineon","4,14M","53,9B","14,90B","53,19","1,67"
"Munchener Ruck","254,82K","67,62B","62,10B","11,11","0,45"
"SAP","2,02M","198,47B","36,80B","27,33","0,71"
"Kering","237,03K","30,66B","15,76B","42,21","1,17"
"Flutter Entertainment","78,02K","19,33B","15,44B","-119,35","1,17"
"Ahold Delhaize","1,73M","31,14B","92,14B","15,40","0,29"
"ASML Holding","635,78K","451,23B","32,67B","47,15","1,34"
"Intesa","48,72M","103,05B","25,53B","11,61","0,805"
"Enel","20,46M","95,58B","77,78B","15,99","0,88"
"Eni SpA","9,88M","53,59B","86,56B","21,78","0,55"
"Hermes International","54,46K","213,45B","15,70B","47,80","0,81"
"Safran","462,49K","125,71B","29,38B","29,20","1,15"
"Anheuser Busch Inbev","1,62M","125,4B","58,61B","25,27","0,68"
"Volkswagen VZO","821,25K","51,36B","326,05B","7,61","1,05"
"Ferrari NV","502,76K","49,74B","7,08B","31,22","0,59"
"Adyen","71,72K","35,66B","2,19B","35,70","2,15"
"Prosus","2,41M","106,81B","6,83B","7,88","0,83"
