name,market_cap,revenue,pe,earnings,margin
ASML Holding,451230000000.0,32670000000.0,47.15,9570095440.084835,0.29293221426644733
Louis Vuitton,265120000000.0,80810000000.0,24.42,10856674856.674856,0.1343481605825375
Hermes International,213450000000.0,15700000000.0,47.8,4465481171.548118,0.28442555232790556
L'Oreal,209220000000.0,43840000000.0,34.32,6096153846.153846,0.13905460415496912
SAP,198470000000.0,36800000000.0,27.33,7261983168.679108,0.1973364991488888
Siemens,192700000000.0,78910000000.0,26.1,7383141762.452106,0.09356408265685093
Inditex,176860000000.0,39380000000.0,29.19,6058924289.140116,0.1538579047521614
Santander,156090000000.0,49980000000.0,11.15,13999103139.013453,0.28009410042043725
Airbus Group,150520000000.0,72150000000.0,29.78,5054398925.453324,0.07005403916082223
Allianz,147060000000.0,105020000000.0,14.28,10298319327.731092,0.09806055349201193
Deutsche Tel.,144670000000.0,121020000000.0,12.33,11733171127.33171,0.09695233124551075
Schneider Electric,141720000000.0,39320000000.0,33.28,4258413461.538461,0.10830146138195476
TotalEnergies SE,133949999999.99998,183530000000.0,11.9,11256302521.008402,0.06133222100478615
Iberdrola,129180000000.0,45490000000.0,25.04,5158945686.900959,0.11340834660147195
Safran,125710000000.0,29380000000.0,29.2,4305136986.30137,0.14653291308037336
Anheuser Busch Inbev,125400000000.0,58610000000.0,25.27,4962406015.037594,0.08466824799586409
EssilorLuxottica,117600000000.0,27240000000.0,49.29,2385879488.7401094,0.0875873527437632
BBVA,115180000000.0,59860000000.0,11.72,9827645051.194538,0.1641771642364607
Prosus,106810000000.0,6830000000.0,7.88,13554568527.918781,1.984563474073028
Intesa,103050000000.0,25530000000.0,11.61,8875968992.248062,0.3476681939775974
BNP Paribas,101640000000.0,47820000000.0,8.95,11356424581.005587,0.23748273904235856
Sanofi,97120000000.0,46720000000.0,19.84,4895161290.32258,0.10477656871409632
Air Liquide,96840000000.0,27400000000.0,28.28,3424328147.1004243,0.12497547982118337
Enel,95580000000.0,77780000000.0,15.99,5977485928.7054405,0.07685119476350528
Axa,79640000000.0,93210000000.0,12.09,6587262200.165426,0.07067119622535593
ING Groep,73230000000.0,,11.93,6138306789.606035,
Vinci,73120000000.0,73720000000.0,15.89,4601636249.213342,0.062420459159160904
Munchener Ruck,67620000000.00001,62100000000.0,11.11,6086408640.864087,0.09800980098009802
Mercedes Benz Group,55720000000.0,136970000000.0,9.0,6191111111.111111,0.045200489969417466
Infineon,53900000000.0,14900000000.0,53.19,1013348373.7544652,0.06800995797009833
BMW,53780000000.0,136419999999.99998,,,
Eni SpA,53590000000.0,86560000000.0,21.78,2460514233.2415056,0.028425534117854732
Deutsche Post,53050000000.0,84050000000.0,16.12,3290942928.039702,0.03915458569946106
Volkswagen VZO,51360000000.0,326050000000.0,7.61,6749014454.664914,0.02069932358431196
Ferrari NV,49740000000.0,7080000000.0,31.22,1593209481.101858,0.22502958772625112
Bayer,44780000000.0,45870000000.0,-226.45,,
Danone,44510000000.0,27360000000.0,27.04,1646079881.6568048,0.0601637383646493
BASF,42550000000.0,64300000000.0,139.85,304254558.455488,0.00473179717660168
Deutsche Borse,38970000000.0,7300000000.0,19.41,2007727975.2704792,0.27503122948910674
Adyen,35660000000.0,2190000000.0,35.7,998879551.8207282,0.45610938439302656
Ahold Delhaize,31140000000.0,92140000000.0,15.4,2022077922.077922,0.02194571219967356
Kone Corporation,31140000000.0,11260000000.0,32.97,944494995.4504095,0.08388055021762074
Kering,30660000000.0,15760000000.0,42.21,726368159.2039801,0.04608935020329823
Adidas,27090000000.0,24700000000.0,22.35,1212080536.9127517,0.0490720865146863
Philips,23390000000.0,17780000000.0,131.88,177358204.42826813,0.009975152105076948
Pernod Ricard,20210000000.0,10960000000.0,12.45,1623293172.6907632,0.14811069093893825
Flutter Entertainment,19330000000.0,15440000000.0,-119.35,,
Stellantis NV,17640000000.0,146120000000.0,-7.23,,
