"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Ncci","356,16K","20,51B","18,57B","19,17","0,32"
"Malath","184,13K","485M","1,34B","18,12","0,45"
"Medgulf","953,62K","2,08B","4,05B","40,63","0,75"
"Mutakamela Insurance","73,67K","619,87M","561,72M","41,86","0,34"
"Salama","124,16K","273,6M","568,24M","-6,39","0,37"
"Walaa Cooperative Insurance","772,37K","1,37B","1,55B","-8,97","0,34"
"Arabian shield","236,44K","927,45M","1,38B","-30,08","0,30"
"Saico","98,37K","335,1M","732,82M","7,07","-0,01"
"Gulf union","82,51K","496,58M","963,51M","-6,25","0,77"
"Allied Insurance","574,44K","209,23M","772,17M","-2,34","0,58"
"Aicc","70,84K","482,3M","596,82M","88,14","0,37"
"Al Etihad Cooperative Insurance Co SJSC","125,74K","392M","1,14B","-3,41","0,09"
"Sagr insurance","255K","300M","622,56M","-6,98","0,24"
"Uca","679,25K","145,2M","949,70M","-0,76","0,54"
"Saudi reinsurance","703,22K","4,6B","1,60B","36,39","0,15"
"Bupa arabia","219,69K","24,13B","19,59B","22,46","-0,07"
"Arcci","239,79K","3,16B","5,08B","23,55","0,43"
"CHUBB Arabia Cooperative","411,03K","872,8M","190,19M","69,75","0,62"
"Gulf Insurance Group","102,12K","1,27B","1,58B","9,08","0,30"
"Gulf General Insurance","207,49K","117,6M","378,99M","-0,72","0,34"
"LIVA Insurance","48,85K","444M","559,84M","16,29","0,22"
"Savola group","731,7K","6,83B","26,37B","0,57","0,40"
"Wafrah for Industry and Development","59,52K","497,52M","132,58M","-14,83","1,02"
"Sa dairy & food","21,98K","7,52B","3,10B","14,56","0,13"
"Almarai co.","592,38K","41,74B","22,06B","16,98","0,29"
"Anaam holding","259,5K","371,39M","38,89M","-33,98","0,19"
"Halwani bros","33,52K","1,17B","919,87M","25,73","1,00"
"Herfy foods","183,26K","988,96M","1,07B","-7,98","0,43"
"Natl agr dev","800,18K","5,31B","3,53B","13,46","0,25"
"Al Gassim Investment Holding","43,64K","460,2M","9,49M","32,91","0,70"
"TADCO","117,59K","277,76M","43,55M","-2,06","0,66"
"Saudi fisherie","89,19K","401,92M","4,70M","-36,69","0,69"
"Sharqiya dev co","115,71K","416,7M","215,73M","-22,19","0,59"
"Jouf agr dev c","114,07K","1,51B","665,74M","18,62","0,66"
"Jazan dev co","75,58K","436M","105,41M","-191,54","0,57"
"Riyad bank","2,04M","85,92B","26,49B","9,04","0,19"
"Al jazira bank","3,49M","15,94B","8,76B","13,35","0,06"
"Saudi inv bank","435,01K","17,8B","9,69B","7,33","0,40"
"Banque sa france","1,62M","44,56B","9,55B","9,17","0,59"
"Saudi Awwal","1,53M","73,56B","21,81B","9,11","0,24"
"Arab bank","1,06M","43B","15,22B","8,25","0,16"
"Al-rajhi bank","2,69M","428B","36,77B","18,28","0,594"
"Bank albilad","1,67M","39,99B","9,05B","13,21","0,61"
"Alinma","5,27M","71,35B","17,11B","12,29","0,06"
"Bci","26,59K","688,05M","730,69M","46,93","0,40"
"Ma’aden","2,06M","281,56B","37,91B","49,54","0,26"
"Astra industry","81,8K","11,6B","3,00B","18,09","0,37"
"Alsorayai group","370,23K","286,82M","101,64M","-10,69","0,76"
"Shaker","213,58K","1,17B","1,41B","14,51","0,34"
"Ssp","170,54K","2,01B","1,29B","12,01","0,44"
"Chemanol","225,12K","465,41M","656,68M","-0,66","0,10"
"Sa basic industry","1,44M","166,5B","139,19B","-24,09","0,33"
"SABIC AgriNutrients","447,23K","59,69B","12,90B","13,97","0,08"
"Sa refineries","45,39K","762M","-34,05","-12,99","0,59"
"Saudi ceramics","230,68K","2,68B","1,41B","43,72","0,44"
"Nat industry","966,97K","5,89B","3,63B","19,44","0,27"
"Pharmaceutical","279,7K","3,59B","1,69B","28,01","0,61"
"Natl gas & industry","70,06K","6,71B","3,17B","27,43","0,36"
"Nat gypsum co","91,2K","473,42M","62,52M","-241,45","0,75"
"Saudi cable","50,42K","1,1B","127,39M","8,20","0,57"
"Saudi adv industry","235,65K","992,38M","-62,12","-10,01","0,48"
"Sa indust dev","538,63K","341,4M","114,38M","-6,81","0,67"
"AYYAN Investment Co SJSC","349,15K","1,2B","121,64M","12,83","0,32"
"Nat co glass ","106,39K","1,22B","142,03M","14,90","0,54"
"Amiantit","273,24K","660,85M","757,79M","-9,87","0,72"
"Alujain","234,44K","1,71B","1,33B","-16,37","0,06"
"Filling Packing Materials Manufacturing","31,77K","340,4M","250,09M","-16,66","0,38"
"Sustained Infra Holding","258,44K","2,31B","1,43B","28,71","0,66"
"Arabian pipe","2,7M","1,03B","895,51M","8,97","0,67"
"Nama chems co","96,18K","529,2M","235,83M","6,72","0,11"
"Natl metal","138,25K","463,74M","237,21M","-25,27","0,79"
"Saudi chemical","6,09M","6,98B","6,96B","23,89","0,31"
"Advanced Building Industries Co SJSC","709,24K","2,44B","6,37B","28,61","0,59"
"Saudi ind inv","726,29K","8B","0,00","146,74",""
"Yansab","391,64K","14,92B","5,71B","150,88","0,51"
"Saudi paper","182,11K","2,06B","816,46M","48,54","-0,18"
"Sahara International Petrochemical","1,41M","10,52B","6,98B","-24,95","0,27"
"Al babtain","368,12K","4,47B","2,77B","11,19","1,03"
"Adv petrochemicals","614,78K","6,33B","2,91B","-100,82","0,41"
"ARTEX Industrial Investment","96,6K","828,75M","579,42M","-5,11","0,78"
"Saudi kayan","3,28M","6,93B","8,69B","-3,03","0,33"
"Svcp","52,79K","322,35M","62,11M","-7,28","0,83"
"Mesc","560,21K","896M","1,41B","9,80","0,49"
"Petro rabigh","1,92M","15,32B","36,24B","-2,86","0,23"
"Arab cement co","75,78K","2,14B","994,19M","15,23","0,44"
"Yamamah cement","476,87K","5,39B","1,39B","12,82","0,18"
"Saudi cement","110,48K","5,38B","1,70B","14,26","0,22"
"Qassim cement","136,49K","4,66B","1,15B","16,62","0,02"
"Cement south","65,89K","3,03B","871,26M","20,95","0,17"
"Yanbu cement","348,57K","2,37B","1,06B","22,06","0,20"
"Cement east","99,79K","2,08B","1,26B","9,28","0,05"
"Tabuk cement","110,44K","755,1M","290,71M","16,98","-0,04"
"A.othaim markets","1,47M","5,82B","11,03B","13,85","0,22"
"Mouwasat med ","346,28K","13,42B","3,09B","17,75","0,39"
"Saudi real est","978,97K","5,2B","2,34B","11,41","0,18"
"Nat shipping c","608,13K","29,16B","9,30B","15,08","0,41"
"Public transport","387,35K","1,2B","1,52B","446,51","0,56"
"Saudi automotibles","185,55K","3,76B","11,31B","72,28","0,75"
"Tihama","256,2K","353,45M","53,25M","-12,58","0,86"
"Sinad Holding","100,57K","1,1B","1,73B","","0,72"
"Taibah","130,79K","9,14B","1,34B","23,49","0,50"
"Makkah constru","101,7K","17,46B","1,07B","37,73","0,48"
"Batic Investments and Logistics","6,02M","1,24B","518,30M","-37,55","0,44"
"Saudi Darb Investment","3,86M","495,53M","18,27M","78,67","0,638"
"Saudi ind exports","7,43M","497,66M","0,00","-29,88","0,72"
"Arriyadh dev","164,45K","4,7B","396,71M","12,53","-0,01"
"Thimar Development Holding","182,89K","233,61M","1,72M","-63,12","0,61"
"Tourism ent","787,23K","773,68M","10,12M","-152,12","-0,59"
"Ahmed fitaihi","952,5K","764,5M","46,67M","96,18","-0,06"
"Jarir mkting c","1,79M","17,17B","11,22B","16,85","0,33"
"Aldrees","293,92K","11,96B","25,76B","28,38","0,59"
"Sa res & mktin","70,66K","8,56B","2,78B","-70,74","0,60"
"Emaar econ city","275,24K","4,94B","865,41M","-17,38","0,10"
"Red sea housing","336,17K","1,24B","3,33B","-87,46","0,84"
"AFG International","1,23M","1,97B","4,98B","-6,12","0,79"
"Jabal omar","3,51M","18,99B","2,00B","13,10","0,47"
"Budget saudi","154,06K","4,68B","2,34B","13,18","0,19"
"Sppc","168,92K","487,8M","636,83M","-2,64","0,94"
"Kingdom Holding","540,83K","30,54B","2,56B","17,76","0,18"
"Alkhaleej trng","247,61K","1,29B","1,19B","61,01","0,40"
"Dar al arkan","1,15M","19,57B","3,82B","18,91","0,10"
"Saudi electric","1,36M","59,37B","100,38B","-23,20","0,13"
"Saudi telecom","2,74M","220,95B","77,35B","18,75","0,24"
"Etihad etisala","685,79K","52,51B","19,15B","14,96","0,08"
"ZAIN KSA","1,22M","9,8B","10,79B","15,16","0,04"
"Atheeb telecom","213,41K","3,23B","1,71B","13,57","0,55"
"Jouf Cement","137,92K","656,55M","267,44M","-10,27","0,33"
"Wataniya Insurance","204,27K","540M","1,90B","11,56","0,83"
"Amana Insurance","182,85K","254,56M","264,85M","-32,27","0,83"
"United Wire Factories","48,74K","536,61M","727,22M","92,14","0,12"
"KEC","200,01K","4,27B","348,62M","","0,47"
"United Electronics","190,35K","6,72B","7,33B","13,97","0,40"
"Takween Advanced Industries","122,21K","464,14M","592,79M","-4,69","0,31"
"Seera Group","513,81K","6,93B","4,72B","-28,15","0,31"
"Najran Cement","246,06K","1,05B","531,16M","19,07","0,33"
"City Cement Co","196,83K","1,85B","544,87M","13,36","0,46"
"CATRION Catering Holding","185,23K","6,5B","2,37B","19,33","0,39"
"Saudi Enaya Cooperative Insurance","159,93K","169,74M","207,03M","-21,48","0,35"
"Dallah Healthcare","68,55K","11,81B","3,77B","22,39","0,045"
"National Medical Care","89,23K","7,02B","1,57B","20,94","0,53"
"Northern Region Cement Co","153,58K","1,25B","675,31M","22,01","0,34"
"Aljazira Takaful Taawuni Company","77,94K","760,98M","319,74M","19,67","0,49"
"Bawan","157,78K","2,77B","3,79B","16,44","0,45"
"BAAN Holding Company SJSC","2,92M","598,5M","670,63M","-10,80","1,16"
"Umm Al-Qura","70,97K","709,5M","268,67M","17,60","0,37"
"Saudi Marke","44,39K","609,75M","1,81B","24,43","0,54"
"Al Hammadi Co","340,1K","4,2B","1,22B","15,89","0,22"
"Saudi National Bank","4,44M","258B","38,16B","11,10","0,207"
"Electrical Industries","3,85M","15,05B","2,04B","28,48","0,52"
"Middle East Paper Co","307,64K","1,72B","1,10B","-87,91","-0,13"
"Saudi Company Hardware","92,23K","906,64M","1,06B","17,31","0,67"
"Saudi Ground Services Co","375,59K","6,72B","2,72B","16,91","0,18"
"Al Andalus Property","61,1K","1,6B","215,13M","-60,95","0,23"
"Middle East Healthcare","833,79K","3,13B","3,04B","8,34","0,04"
"Al Yamamah Steel","335,21K","1,93B","1,88B","32,36","0,47"
"Lazurde for Jewelry","108,19K","650,9M","2,73B","-21,99","0,44"
"Riyad REIT","86,8K","870,5M","282,61M","-3,97",""
"AlJazira REIT","29,61K","136,17M","6,67M","48,29","0,39"
"Abdullah Saad Mohammed","519,02K","912,4M","265,44M","34,76","0,74"
"Development Works Food","32,09K","306,9M","104,14M","","0,98"
"Al Omran Industrial","43,01K","294M","122,10M","-92,41","0,10"
"Baazeem Trading","383,81K","617,63M","270,87M","24,69","0,90"
"Sadr Logistics","1,35M","477,75M","132,28M","-260,95","0,58"
"Arab Sea Information","520,14K","408M","49,79M","-33,86","0,84"
"Raydan","57,14K","147,73M","127,04M","-1,78","0,63"
"Jadwa REIT Al Haramain","46,63K","332,64M","50,54M","12,39","0,19"
"Taleem REIT","43,19K","529,89M","67,56M","15,89","0,23"
"Al Aseel","1,06M","1,48B","510,14M","16,38","0,63"
