name,market_cap,revenue,pe,earnings,margin
Saudi Aramco,6190000000000.0,1680000000000.0,16.97,364761343547.4367,0.21711984734966472
Al-rajhi bank,428000000000.0,36770000000.0,18.28,23413566739.606125,0.6367573222628807
Ma’aden,281560000000.0,37910000000.0,49.54,5683488090.431974,0.14992055105333618
Saudi National Bank,258000000000.0,38160000000.0,11.1,23243243243.243244,0.6090996657034393
Saudi telecom,220950000000.0,77350000000.0,18.75,11784000000.0,0.1523464770523594
Sa basic industry,166500000000.0,139190000000.0,-24.09,,
ACWA Power,143440000000.0,7110000000.0,90.17,1590772984.3628702,0.22373740989632493
Dr Sulaiman,89250000000.0,13130000000.0,39.77,2244153884.837817,0.17091804149564488
Riyad bank,85920000000.0,26490000000.0,9.04,9504424778.761063,0.3587929323805611
Saudi Awwal,73560000000.0,21810000000.0,9.11,8074643249.176729,0.3702266505812347
Alinma,71350000000.0,17110000000.0,12.29,5805532953.620831,0.3393064262782484
SABIC AgriNutrients,59690000000.0,12900000000.0,13.97,4272727272.7272725,0.3312191684284707
Saudi electric,59370000000.0,100380000000.0,-23.2,,
Al ELM Information Security,52770000000.0,8790000000.0,28.76,1834840055.6328232,0.20874175832000263
Etihad etisala,52510000000.0,19150000000.0,14.96,3510026737.967914,0.18329121347090935
Banque sa france,44560000000.0,9550000000.0,9.17,4859323882.224646,0.5088297258873975
Arab bank,43000000000.0,15220000000.0,8.25,5212121212.121212,0.3424521164337196
Almarai co.,41740000000.0,22060000000.0,16.98,2458186101.295642,0.11143182689463473
Bank albilad,39990000000.0,9050000000.0,13.21,3027252081.756245,0.3345029924592536
Kingdom Holding,30540000000.0,2560000000.0,17.76,1719594594.5945945,0.6717166385135135
Nat shipping c,29160000000.0,9300000000.0,15.08,1933687002.65252,0.20792333361855053
Arabian Internet and Communications,26390000000.0,12550000000.0,17.97,1468558708.9593768,0.11701663019596628
Umm Al Qura for Dev Construction,25840000000.0,3230000000.0,,,
Bupa arabia,24130000000.0,19590000000.0,22.46,1074354407.836153,0.05484198100235595
ADES Holding Company SJSC,20680000000.0,6270000000.0,23.95,863465553.2359082,0.137713804343845
Ncci,20510000000.0,18570000000.0,19.17,1069900886.8022952,0.05761447963394158
Dar al arkan,19570000000.0,3820000000.0,18.91,1034902168.1649921,0.2709167979489508
Jabal omar,18990000000.0,2000000000.0,13.1,1449618320.610687,0.7248091603053435
Riyadh Cables Company CJSC,18710000000.0,10430000000.0,,,
Saudi Tadawul Holding,18660000000.0,1310000000.0,40.66,458927693.06443685,0.3503264832552953
Saudi inv bank,17800000000.0,9690000000.0,7.33,2428376534.7885404,0.25060645353854905
Makkah constru,17460000000.0,1070000000.0000001,37.73,462761728.06785053,0.4324875963250939
Jarir mkting c,17170000000.000002,11220000000.0,16.85,1018991097.9228487,0.0908191709378653
Saudi Aramco Base Oil,17149999999.999998,9160000000.0,,,
Al jazira bank,15940000000.0,8760000000.0,13.35,1194007490.6367042,0.13630222495852787
Petro rabigh,15320000000.0,36240000000.0,-2.86,,
Electrical Industries,15050000000.0,2040000000.0,28.48,528441011.23595506,0.25903971139017407
Yansab,14920000000.0,5710000000.0,150.88,98886532.34358431,0.017318131758946465
SAL Saudi Logistics,14060000000.0,1610000000.0,21.57,651831247.1024572,0.40486412863506654
Americana Restaurants,13720000000.0,2430000000.0,,,
Mouwasat med,13420000000.0,3090000000.0,17.75,756056338.028169,0.244678426546333
Nahdi Medical,13120000000.0,9990000000.0,18.57,706515885.8373721,0.07072231089463184
Aldrees,11960000000.0,25760000000.0,28.38,421423537.7026075,0.0163596093828652
Dallah Healthcare,11810000000.0,3770000000.0,22.39,527467619.472979,0.1399118354039732
Astra industry,11600000000.0,3000000000.0,18.09,641238253.1785517,0.21374608439285056
Sahara International Petrochemical,10520000000.0,6980000000.0,-24.95,,
flynas,10420000000.0,7730000000.0,,,
Rasan Information Tech,10380000000.0,557420000.0,,,
ZAIN KSA,9800000000.0,10790000000.0,15.16,646437994.7229551,0.059910842884425865
MBC CJSC,9350000000.0,5070000000.0,,,
